long,long,float,float,float,str,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,long,long,
152,530,4262.39013672,2136.91992188,139.440002441,"Завдання - Пустоверть - Манагорн Ультрис (початок)",,,,,,,,"Завдання - Пустоверть - Манагорн Ультрис (початок)",,,,,,,,0xFF01FE,20903,20903,
153,530,4266.70019531,2133.37988281,138.820007324,"Завдання - Пустоверть - Манагорн Ультрис (кінець)",,,,,,,,"Завдання - Пустоверть - Манагорн Ультрис (кінець)",,,,,,,,0xFF01FE,20903,20903,
154,0,20047.8808594,5200.68994141,19742.7792969,"Завдання - Пустоверть - Манагорн Ультрис (второе прохождение) початок",,,,,,,,"Завдання - Пустоверть - Манагорн Ультрис (второе прохождение) початок",,,,,,,,0xFF01FE,20903,20903,
155,530,4267.14013672,2133.0300293,138.770004272,"Завдання - Пустоверть - Манагорн Ультрис (второе прохождение), кінець",,,,,,,,"Завдання - Пустоверть - Манагорн Ультрис (второе прохождение), кінець",,,,,,,,0xFF01FE,0,0,
156,530,1857.34997559,5531.87011719,277.010009766,"Станція Тошли, Лезокрайські Гори",,,,,,,,"Станція Тошли, Лезокрайські Гори",,,,,,,,0xFF01FE,0,541,
157,530,2277.73999023,5983.35009766,142.600006104,"Завдання - Лезокрайські Гори - Путеводное Видение - початок",,,,,,,,"Завдання - Лезокрайські Гори - Путеводное Видение - початок",,,,,,,,0xFF01FE,21396,0,
158,530,2278.56005859,5983.70996094,142.570007324,"Завдання - Лезокрайські Гори - Путеводное Видение - кінець",,,,,,,,"Завдання - Лезокрайські Гори - Путеводное Видение - кінець",,,,,,,,0xFF01FE,0,0,
159,530,-4073.16992188,1123.60998535,42.4700012207,"Святилище Зірок, Долина Примарного Місяця",,,,,,,,"Святилище Зірок, Долина Примарного Місяця",,,,,,,,0xFF01FE,2224,541,
160,530,2976.01000977,5501.12988281,143.669998169,"Вічна гай, Лезокрайські Гори",,,,,,,,"Вічна гай, Лезокрайські Гори",,,,,,,,0xFF01FE,2224,541,
161,654135852,0.0,0.0,0.0,"Завдання - союзник дракона Порожнечі - початок",,,,,,,,"Завдання - союзник дракона Порожнечі - початок",,,,,,,,0xFF01FE,22360,22360,
162,530,-4100.27001953,950.380004883,22.1100006104,"Завдання - союзник дракона Порожнечі - кінець",,,,,,,,"Завдання - союзник дракона Порожнечі - кінець",,,,,,,,0xFF01FE,0,0,
163,530,2028.79003906,4705.27001953,150.509994507,"Селище Мок'Натал, Лезокрайські Гори",,,,,,,,"Селище Мок'Натал, Лезокрайські Гори",,,,,,,,0xFF01FE,2224,0,
164,530,966.66998291,7399.16015625,29.1399993896,"Прихисток Оребор, Зангартоп",,,,,,,,"Прихисток Оребор, Зангартоп",,,,,,,,0xFF01FE,3837,3837,
165,3,0.0,0.0,0.0,"Transport, Northrend 2",,,,,,,,"Transport, Northrend 2",,,,,,,,0xFF01FE,0,0,
166,1,3978.73999023,-1316.42004395,250.11000061,"Смарагдове святилище, Осквернений Ліс",,,,,,,,"Смарагдове святилище, Осквернений Ліс",,,,,,,,0xFF01FE,2224,3837,
167,1,3000.25,-3202.40991211,189.770004272,"Лісова Пісня, Ашенваль",,,,,,,,"Лісова Пісня, Ашенваль",,,,,,,,0xFF01FE,0,3837,
168,0,-9441.1796875,65.0500030518,56.1800003052,"Съемочная площадка",,,,,,,,"Съемочная площадка",,,,,,,,0xFF01FE,0,3837,
169,530,-5224.52978516,631.849975586,48.3600006104,"Завдання - Кряж Крил Порожнечі - Поїздка на шахтерской тележке - Південь - початок",,,,,,,,"Завдання - Кряж Крил Порожнечі - Поїздка на шахтерской тележке - Південь - початок",,,,,,,,0xFF01FE,23372,23372,
170,530,-5185.70996094,172.949996948,-11.5699996948,"Завдання - Кряж Крил Порожнечі - Поїздка на шахтерской тележке - Південь - кінець",,,,,,,,"Завдання - Кряж Крил Порожнечі - Поїздка на шахтерской тележке - Південь - кінець",,,,,,,,0xFF01FE,23289,23289,
171,530,-3364.67993164,3650.17993164,284.779998779,"Скеттис",,,,,,,,"Скеттис",,,,,,,,0xFF01FE,23422,23422,
172,530,2531.10009766,7322.08984375,373.640014648,"Огрі'ла",,,,,,,,"Огрі'ла",,,,,,,,0xFF01FE,23422,23422,
173,530,-5141.35986328,620.109985352,82.6999969482,"Завдання - Полет Ярзилла, початок",,,,,,,,"Завдання - Полет Ярзилла, початок",,,,,,,,0xFF01FE,23468,23468,
174,530,-1636.08996582,5275.87011719,-41.0999984741,"Завдання - Полет Ярзилла, початок, кінець",,,,,,,,"Завдання - Полет Ярзилла, початок, кінець",,,,,,,,0xFF01FE,0,0,
175,571,784.890014648,-5066.18017578,-7.88000011444,"Транспорт, Виючий Фіорд",,,,,,,,"Транспорт, Виючий Фіорд",,,,,,,,0xFF01FE,0,0,
176,571,245.36000061,-3309.19995117,0.910000026226,"Quest - Howling Fjord Tauren Canoe (Start)",,,,,,,,"Quest - Howling Fjord Tauren Canoe (Start)",,,,,,,,0xFF01FE,23518,23518,
177,571,-147.470001221,-3587.36010742,0.340000003576,"Quest - Howling Fjord Tauren Canoe (End)",,,,,,,,"Quest - Howling Fjord Tauren Canoe (End)",,,,,,,,0xFF01FE,23518,23518,
178,3,0.0,0.0,0.0,"Транспорт, Борейська Тундра",,,,,,,,"Транспорт, Борейська Тундра",,,,,,,,0xFF01FE,0,0,
179,1,-4566.22998047,-3226.05004883,34.7000007629,"Шестермуть, Пилові Болота",,,,,,,,"Шестермуть, Пилові Болота",,,,,,,,0xFF01FE,2224,541,
180,1,-3822.65991211,-4511.33007813,10.8400001526,"Завдання - Пилові Болота - Дослідження Алькаца, початок",,,,,,,,"Завдання - Пилові Болота - Дослідження Алькаца, початок",,,,,,,,0xFF01FE,0,541,
181,1,-3822.70996094,-4509.64990234,10.9799995422,"Завдання - Пилові Болота - Дослідження Алькаца, кінець",,,,,,,,"Завдання - Пилові Болота - Дослідження Алькаца, кінець",,,,,,,,0xFF01FE,0,541,
182,571,1415.89001465,-3082.48999023,121.910003662,"Quest - Howling Fjord - Break the Blockade Zeppelin",,,,,,,,"Quest - Howling Fjord - Break the Blockade Zeppelin",,,,,,,,0xFF01FE,0,0,
183,571,567.409973145,-5010.97021484,11.5,"Валгардский порт, Виючий Фіорд",,,,,,,,"Валгардский порт, Виючий Фіорд",,,,,,,,0xFF01FE,0,541,
184,571,2468.77001953,-5029.81982422,283.489990234,"Фортеця Вилдервар, Виючий Фіорд",,,,,,,,"Фортеця Вилдервар, Виючий Фіорд",,,,,,,,0xFF01FE,0,541,
185,571,1342.83996582,-3287.89990234,174.449996948,"Фортеця Західної Охорони, Виючий Фіорд",,,,,,,,"Фортеця Західної Охорони, Виючий Фіорд",,,,,,,,0xFF01FE,0,541,
186,571,1911.81994629,-6179.06982422,24.6100006104,"Quest - Howling Fjord - Flight to the Windrunner - Start",,,,,,,,"Quest - Howling Fjord - Flight to the Windrunner - Start",,,,,,,,0xFF01FE,3574,0,
187,571,1652.82995605,-6512.10986328,18.4799995422,"Quest - Howling Fjord - Flight to the Windrunner - End",,,,,,,,"Quest - Howling Fjord - Flight to the Windrunner - End",,,,,,,,0xFF01FE,3574,0,
188,571,1912.7800293,-6178.81005859,24.6399993896,"Quest - Howling Fjord - Test at Sea - Start",,,,,,,,"Quest - Howling Fjord - Test at Sea - Start",,,,,,,,0xFF01FE,3574,0,
189,571,1913.90002441,-6177.87011719,24.6200008392,"Quest - Howling Fjord - Test at Sea - End",,,,,,,,"Quest - Howling Fjord - Test at Sea - End",,,,,,,,0xFF01FE,0,0,
190,571,401.119995117,-4544.29980469,244.539993286,"Новий Агамонд, Виючий Фіорд",,,,,,,,"Новий Агамонд, Виючий Фіорд",,,,,,,,0xFF01FE,3574,0,
191,571,1918.59997559,-6175.89013672,24.4099998474,"Табір Відплати, Виючий Фіорд",,,,,,,,"Табір Відплати, Виючий Фіорд",,,,,,,,0xFF01FE,3574,0,
192,571,2652.88989258,-4392.70996094,283.320007324,"Табір Заиндевевшего Копита, Виючий Фіорд",,,,,,,,"Табір Заиндевевшего Копита, Виючий Фіорд",,,,,,,,0xFF01FE,2224,0,
193,571,1341.43994141,-3288.57006836,174.449996948,"Quest - Howling Fjord - Mission: Plague This! - End",,,,,,,,"Quest - Howling Fjord - Mission: Plague This! - End",,,,,,,,0xFF01FE,0,541,
194,571,1341.07995605,-3288.37011719,174.449996948,"Quest - Howling Fjord - Mission: Plague This! - Start",,,,,,,,"Quest - Howling Fjord - Mission: Plague This! - Start",,,,,,,,0xFF01FE,0,541,
195,0,-11343.9697266,-216.830001831,75.2200012207,"Табір повстанцев, Терниста Долина",,,,,,,,"Табір повстанцев, Терниста Долина",,,,,,,,0xFF01FE,0,541,
196,451,9283.09960938,-9749.80957031,62.1599998474,"Test - SP",,,,,,,,"Test - SP",,,,,,,,0xFF01FE,12374,541,
197,0,-9148.62011719,243.039993286,87.3899993896,"Тест SP2",,,,,,,,"Тест SP2",,,,,,,,0xFF01FE,0,0,
198,451,9405.83007813,-9882.69042969,0.0,"Тест SP1",,,,,,,,"Тест SP1",,,,,,,,0xFF01FE,24489,541,
199,571,638.340026855,-5074.56982422,-0.230000004172,"Quest - Howling Fjord - McGoyver Start",,,,,,,,"Quest - Howling Fjord - McGoyver Start",,,,,,,,0xFF01FE,24716,24716,
200,571,483.920013428,-5913.10009766,308.609985352,"Quest - Howling Fjord - McGoyver End",,,,,,,,"Quest - Howling Fjord - McGoyver End",,,,,,,,0xFF01FE,24716,24716,
201,451,15992.4404297,-16371.9404297,76.7300033569,"Область разработчиков - Кайл Радью, початок",,,,,,,,"Область разработчиков - Кайл Радью, початок",,,,,,,,0xFF01FE,23468,23468,
202,451,15991.6796875,-16371.9501953,76.6999969482,"Область разработчиков - Кайл Радью, кінець",,,,,,,,"Область разработчиков - Кайл Радью, кінець",,,,,,,,0xFF01FE,0,0,
203,571,3505.30004883,1990.82995605,65.0999984741,"Quest - Stars' Rest -> Wintergarde",,,,,,,,"Quest - Stars' Rest -> Wintergarde",,,,,,,,0xFF01FE,0,27127,
204,12,0.0,0.0,0.0,"Quest - New Agamand -> Venomspite",,,,,,,,"Quest - New Agamand -> Venomspite",,,,,,,,0xFF01FE,27179,0,
205,530,6789.79003906,-7747.58007813,126.510002136,"Зул'Аман, Примарні Землі",,,,,,,,"Зул'Аман, Примарні Землі",,,,,,,,0xFF01FE,3574,541,
206,1,-4348.00976563,2427.29003906,6.63999986649,"Транспорт, фортецю Пернатого Місяця (северо-западный корабель)",,,,,,,,"Транспорт, фортецю Пернатого Місяця (северо-западный корабель)",,,,,,,,0xFF01FE,0,0,
207,571,15.3199996948,-4043.79003906,0.10000000149,"Quest - Howling Fjord - Sister Mercy (Start)",,,,,,,,"Quest - Howling Fjord - Sister Mercy (Start)",,,,,,,,0xFF01FE,0,0,
208,571,15.3199996948,-4043.70996094,0.10000000149,"Quest - Howling Fjord - Sister Mercy (End)",,,,,,,,"Quest - Howling Fjord - Sister Mercy (End)",,,,,,,,0xFF01FE,0,0,
209,530,13008.3798828,-6911.81005859,9.57999992371,"Завдання - Сонячний Колодязь, щоденне - Бомбардування Тропы Мертвих - початок",,,,,,,,"Завдання - Сонячний Колодязь, щоденне - Бомбардування Тропы Мертвих - початок",,,,,,,,0xFF01FE,25044,0,
210,530,13008.5097656,-6912.20019531,9.57999992371,"Завдання - Сонячний Колодязь, щоденне - Бомбардування Тропы Мертвих - кінець",,,,,,,,"Завдання - Сонячний Колодязь, щоденне - Бомбардування Тропы Мертвих - кінець",,,,,,,,0xFF01FE,25044,0,
211,530,13007.5,-6911.81005859,9.57999992371,"Завдання - Сонячний Колодязь, щоденне - Бомбардування кораблей - початок",,,,,,,,"Завдання - Сонячний Колодязь, щоденне - Бомбардування кораблей - початок",,,,,,,,0xFF01FE,25044,0,
212,530,13188.0400391,-7047.04003906,4.78999996185,"Завдання - Сонячний Колодязь, щоденне - Бомбардування кораблей - кінець",,,,,,,,"Завдання - Сонячний Колодязь, щоденне - Бомбардування кораблей - кінець",,,,,,,,0xFF01FE,25044,0,
213,530,13012.7001953,-6908.37011719,9.57999992371,"Подготовительный плацдарм Розколотого Сонця",,,,,,,,"Подготовительный плацдарм Розколотого Сонця",,,,,,,,0xFF01FE,19917,28361,
214,0,0.0,0.0,0.0,"Quest - Howling Fjord - Naglfar (Start)",,,,,,,,"Quest - Howling Fjord - Naglfar (Start)",,,,,,,,0xFF01FE,0,0,
215,0,0.0,0.0,0.0,"Quest - Howling Fjord - Naglfar (Nodes)",,,,,,,,"Quest - Howling Fjord - Naglfar (Nodes)",,,,,,,,0xFF01FE,0,0,
216,0,0.0,0.0,0.0,"",,,,,,,,"",,,,,,,,0xFF01FC,0,0,
217,0,0.0,0.0,0.0,"",,,,,,,,"",,,,,,,,0xFF01FC,0,0,
218,571,690.989990234,-3819.60009766,249.059997559,"Транспорт, Виючий Фіорд (гондола, верхняя частина)",,,,,,,,"Транспорт, Виючий Фіорд (гондола, верхняя частина)",,,,,,,,0xFF01FE,0,0,
219,571,607.960021973,-2906.16992188,38.5400009155,"Транспорт, Виючий Фіорд (гондола, нижняя частина)",,,,,,,,"Транспорт, Виючий Фіорд (гондола, нижняя частина)",,,,,,,,0xFF01FE,0,0,
220,530,3051.76000977,3690.40991211,142.630004883,"",,,,,,,,"",,,,,,,,0xFF01FC,5403,0,
221,571,3465.65991211,5901.75976563,144.169998169,"Янтарний хребет, Борейська Тундра (в Берил)",,,,,,,,"Янтарний хребет, Борейська Тундра (в Берил)",,,,,,,,0xFF01FE,26088,0,
222,571,3213.73999023,6084.72021484,138.0,"Бериловий Табір, Борейська Тундра",,,,,,,,"Бериловий Табір, Борейська Тундра",,,,,,,,0xFF01FE,25695,0,
223,0,0.0,0.0,0.0,"Quest - Naglevar",,,,,,,,"Quest - Naglevar",,,,,,,,0xFF01FE,0,0,
224,0,0.0,0.0,0.0,"Борейська Тундра, Наглевар",,,,,,,,"Борейська Тундра, Наглевар",,,,,,,,0xFF01FE,0,0,
225,571,3574.06005859,5971.04003906,136.11000061,"Янтарний хребет, Борейська Тундра (в Хладарру)",,,,,,,,"Янтарний хребет, Борейська Тундра (в Хладарру)",,,,,,,,0xFF01FE,25695,0,
226,571,3575.43994141,6661.64013672,195.190002441,"Маскувальний щит, Холодарра",,,,,,,,"Маскувальний щит, Холодарра",,,,,,,,0xFF01FE,26899,26899,
227,451,16625.6308594,16862.9003906,46.9799995422,"Transport, PattyMacDevTest",,,,,,,,"Transport, PattyMacDevTest",,,,,,,,0xFF01FE,28901,25968,
228,0,0.0,0.0,0.0,"Development Land - Pat Test Start",,,,,,,,"Development Land - Pat Test Start",,,,,,,,0xFF01FE,0,0,
229,0,0.0,0.0,0.0,"Development Land - Pat Test End",,,,,,,,"Development Land - Pat Test End",,,,,,,,0xFF01FE,0,0,
230,571,2690.26000977,889.809997559,4.61000013351,"Transport, Tuskarr 01",,,,,,,,"Transport, Tuskarr 01",,,,,,,,0xFF01FE,0,0,
231,571,2690.33007812,897.630004883,4.61999988556,"Transport, Tuskarr 02",,,,,,,,"Transport, Tuskarr 02",,,,,,,,0xFF01FE,0,0,
232,571,2774.68994141,6258.14013672,83.6800003052,"Borean Tundra - Warsong Hold Wolf Start",,,,,,,,"Borean Tundra - Warsong Hold Wolf Start",,,,,,,,0xFF01FE,26128,0,
233,571,3443.52001953,4103.95019531,16.0100002289,"Borean Tundra - Warsong Hold Wolf End",,,,,,,,"Borean Tundra - Warsong Hold Wolf End",,,,,,,,0xFF01FE,0,0,
234,571,4130.62011719,7372.31005859,534.109985352,"Кряж Хладарры, Холодарра",,,,,,,,"Кряж Хладарры, Холодарра",,,,,,,,0xFF01FE,26263,0,
235,571,3575.56005859,6651.83984375,195.210006714,"Transitus Shield, Coldarra (NOT USED)",,,,,,,,"Transitus Shield, Coldarra (NOT USED)",,,,,,,,0xFF01FE,25695,0,
236,571,4026.94995117,7085.54003906,165.539993286,"Холодарра, Керистраза (до Малигосу)",,,,,,,,"Холодарра, Керистраза (до Малигосу)",,,,,,,,0xFF01FE,26263,0,
237,571,3929.39990234,6590.74023437,170.339996338,"Холодарра, Лігво Керистразы",,,,,,,,"Холодарра, Лігво Керистразы",,,,,,,,0xFF01FE,0,0,
238,0,0.0,0.0,0.0,"",,,,,,,,"",,,,,,,,0xFF01FC,0,0,
239,571,3109.0,3819.54003906,23.2399997711,"Borean Tundra - Quest - Dusk Start",,,,,,,,"Borean Tundra - Quest - Dusk Start",,,,,,,,0xFF01FE,26404,0,
240,571,3614.30004883,3670.12011719,35.7799987793,"Borean Tundra - Quest - Dusk - End",,,,,,,,"Borean Tundra - Quest - Dusk - End",,,,,,,,0xFF01FE,11195,0,
241,0,0.0,0.0,0.0,"Транспорт, Фортеця Відваги",,,,,,,,"Транспорт, Фортеця Відваги",,,,,,,,0xFF01FE,0,0,
242,571,2739.72998047,882.369995117,6.63999986649,"Quest - Dragonblight - Spiritual Vision - Begin",,,,,,,,"Quest - Dragonblight - Spiritual Vision - Begin",,,,,,,,0xFF01FE,21396,0,
243,571,2738.4699707,882.460021973,6.5,"Quest - Dragonblight - Spiritual Vision - End",,,,,,,,"Quest - Dragonblight - Spiritual Vision - End",,,,,,,,0xFF01FE,0,0,
244,571,3712.42993164,-694.859985352,215.570007324,"Фортеця Вартових Зими, Драконовий Погост",,,,,,,,"Фортеця Вартових Зими, Драконовий Погост",,,,,,,,0xFF01FE,0,541,
245,571,2269.54003906,5173.68994141,11.1000003815,"Фортеця Відваги, Борейська Тундра",,,,,,,,"Фортеця Відваги, Борейська Тундра",,,,,,,,0xFF01FE,0,541,
246,571,4127.22998047,5313.06982422,28.6700000763,"Взлетная полоса Выкрутеня, Борейська Тундра",,,,,,,,"Взлетная полоса Выкрутеня, Борейська Тундра",,,,,,,,0xFF01FE,0,28360,
247,571,3504.12988281,1992.0300293,64.9599990845,"Відпочинок Зірок, Драконовий Погост",,,,,,,,"Відпочинок Зірок, Драконовий Погост",,,,,,,,0xFF01FE,0,3837,
248,571,2108.11010742,-2970.62011719,148.580001831,"Аптекарский поселок, Виючий Фіорд",,,,,,,,"Аптекарский поселок, Виючий Фіорд",,,,,,,,0xFF01FE,3574,0,
249,571,3876.34008789,-4520.08007813,217.320007324,"Табір Уанква, Пагорби Гризлі",,,,,,,,"Табір Уанква, Пагорби Гризлі",,,,,,,,0xFF01FE,2224,0,
250,571,3258.89990234,-2263.09008789,114.370002747,"Фортеця Завоевателей, Пагорби Гризлі",,,,,,,,"Фортеця Завоевателей, Пагорби Гризлі",,,,,,,,0xFF01FE,2224,0,
251,571,4612.20996094,1406.59997559,195.059997559,"Фортеця Фордрагона, Драконовий Погост",,,,,,,,"Фортеця Фордрагона, Драконовий Погост",,,,,,,,0xFF01FE,0,541,
252,571,3653.20996094,247.580001831,52.2599983215,"Храм Драконового Спочинку, Драконовий Погост",,,,,,,,"Храм Драконового Спочинку, Драконовий Погост",,,,,,,,0xFF01FE,26899,26899,
253,571,3446.35009766,-2754.10009766,199.399993896,"Притулок Янтарної Сосны, Пагорби Гризлі",,,,,,,,"Притулок Янтарної Сосны, Пагорби Гризлі",,,,,,,,0xFF01FE,0,541,
254,571,3242.95996094,-666.159973145,166.789993286,"Ядозлобь, Драконовий Погост",,,,,,,,"Ядозлобь, Драконовий Погост",,,,,,,,0xFF01FE,3574,0,
255,571,4584.97998047,-4254.68994141,182.210006714,"Табір бригади Західного Краю, Пагорби Гризлі",,,,,,,,"Табір бригади Західного Краю, Пагорби Гризлі",,,,,,,,0xFF01FE,0,541,
256,571,3865.87011719,1525.63000488,90.0400009155,"Молот Агмара, Драконовий Погост",,,,,,,,"Молот Агмара, Драконовий Погост",,,,,,,,0xFF01FE,2224,0,
257,571,2920.29003906,6242.85009766,208.800003052,"Фортеця Пісні Війни, Борейська Тундра",,,,,,,,"Фортеця Пісні Війни, Борейська Тундра",,,,,,,,0xFF01FE,2224,0,
258,571,3449.51000977,4089.52001953,16.6399993896,"Селище Таунка'ле, Борейська Тундра",,,,,,,,"Селище Таунка'ле, Борейська Тундра",,,,,,,,0xFF01FE,2224,0,
259,571,4474.79003906,5712.12988281,81.2799987793,"Застава Бор'горока, Борейська Тундра",,,,,,,,"Застава Бор'горока, Борейська Тундра",,,,,,,,0xFF01FE,2224,0,
260,571,4946.66992188,1165.93994141,239.570007324,"Стоянка отряда Кор'крона, Драконовий Погост",,,,,,,,"Стоянка отряда Кор'крона, Драконовий Погост",,,,,,,,0xFF01FE,2224,0,
261,571,3711.31005859,-698.179992676,215.570007324,"Quest - Stars' Rest to Wintergarde End",,,,,,,,"Quest - Stars' Rest to Wintergarde End",,,,,,,,0xFF01FE,0,27127,
262,571,4267.39013672,-3050.92993164,318.160003662,"Grizzly Hills, Alliance Log Ride Start 01",,,,,,,,"Grizzly Hills, Alliance Log Ride Start 01",,,,,,,,0xFF01FE,29878,0,
263,571,2663.66992188,-2181.44995117,3.43000006676,"Grizzly Hills, Alliance Log Ride End 01",,,,,,,,"Grizzly Hills, Alliance Log Ride End 01",,,,,,,,0xFF01FE,0,0,
264,0,0.0,0.0,0.0,"Transport, Auberdine (NEW)",,,,,,,,"Transport, Auberdine (NEW)",,,,,,,,0xFF01FE,0,0,
265,0,0.0,0.0,0.0,"Transport, Theramore (NEW)",,,,,,,,"Transport, Theramore (NEW)",,,,,,,,0xFF01FE,0,0,
266,0,0.0,0.0,0.0,"Transport, Menethil (NEW)",,,,,,,,"Transport, Menethil (NEW)",,,,,,,,0xFF01FE,0,0,
267,571,4272.08984375,-3248.26000977,324.929992676,"Grizzly Hills, Alliance Log Ride Start",,,,,,,,"Grizzly Hills, Alliance Log Ride Start",,,,,,,,0xFF01FE,29878,0,
268,571,2664.2199707,-2344.62988281,21.7000007629,"Grizzly Hills, Alliance Log Ride End",,,,,,,,"Grizzly Hills, Alliance Log Ride End",,,,,,,,0xFF01FE,0,0,
269,571,1341.67004395,-3288.73999023,174.449996948,"Quest - Westguard Keep to Wintergarde Keep Begin",,,,,,,,"Quest - Westguard Keep to Wintergarde Keep Begin",,,,,,,,0xFF01FE,0,27491,
270,571,3712.22998047,-693.849975586,215.419998169,"Quest - Westguard Keep to Wintergarde Keep End",,,,,,,,"Quest - Westguard Keep to Wintergarde Keep End",,,,,,,,0xFF01FE,0,27491,
271,571,4311.25,-2956.61010742,317.309997559,"Grizzly Hills, Horde Log Ride Start",,,,,,,,"Grizzly Hills, Horde Log Ride Start",,,,,,,,0xFF01FE,29879,0,
272,571,2883.75,-1673.70996094,6.48000001907,"Grizzly Hills, Horde Log Ride End",,,,,,,,"Grizzly Hills, Horde Log Ride End",,,,,,,,0xFF01FE,0,0,
273,571,3547.2199707,381.489990234,52.2599983215,"Wyrmrest Храм - bottom to top, Dragonblight - Begin",,,,,,,,"Wyrmrest Храм - bottom to top, Dragonblight - Begin",,,,,,,,0xFF01FE,26899,26899,
274,571,3590.37988281,277.540008545,340.850006104,"Wyrmrest Храм - bottom to top, Dragonblight - End",,,,,,,,"Wyrmrest Храм - bottom to top, Dragonblight - End",,,,,,,,0xFF01FE,0,0,
275,571,3587.64990234,279.209991455,340.829986572,"Wyrmrest Храм - top to bottom, Dragonblight - Begin",,,,,,,,"Wyrmrest Храм - top to bottom, Dragonblight - Begin",,,,,,,,0xFF01FE,26899,26899,
276,571,3511.47998047,373.929992676,52.2599983215,"Wyrmrest Храм - top to bottom, Dragonblight - End",,,,,,,,"Wyrmrest Храм - top to bottom, Dragonblight - End",,,,,,,,0xFF01FE,0,0,
277,571,3587.55004883,279.140014648,340.829986572,"Wyrmrest Храм - top to middle, Dragonblight - Begin",,,,,,,,"Wyrmrest Храм - top to middle, Dragonblight - Begin",,,,,,,,0xFF01FE,26899,26899,
278,571,3543.23999023,307.040008545,116.730003357,"Wyrmrest Храм - top to middle, Dragonblight - End",,,,,,,,"Wyrmrest Храм - top to middle, Dragonblight - End",,,,,,,,0xFF01FE,0,0,
279,571,3587.04003906,277.140014648,340.820007324,"Wyrmrest Храм - middle to top, Dragonblight - End",,,,,,,,"Wyrmrest Храм - middle to top, Dragonblight - End",,,,,,,,0xFF01FE,0,0,
280,571,3545.62011719,273.600006104,116.839996338,"Wyrmrest Храм - middle to top, Dragonblight - Begin",,,,,,,,"Wyrmrest Храм - middle to top, Dragonblight - Begin",,,,,,,,0xFF01FE,26899,26899,
281,571,3512.2199707,373.570007324,52.2599983215,"Wyrmrest Храм - middle to bottom, Dragonblight - End",,,,,,,,"Wyrmrest Храм - middle to bottom, Dragonblight - End",,,,,,,,0xFF01FE,0,0,
282,571,3545.61010742,273.600006104,116.839996338,"Wyrmrest Храм - middle to bottom, Dragonblight - Begin",,,,,,,,"Wyrmrest Храм - middle to bottom, Dragonblight - Begin",,,,,,,,0xFF01FE,26899,26899,
283,571,3543.37011719,307.059997559,116.730003357,"Wyrmrest Храм - bottom to middle, Dragonblight - End",,,,,,,,"Wyrmrest Храм - bottom to middle, Dragonblight - End",,,,,,,,0xFF01FE,0,0,
284,571,3548.14990234,381.010009766,52.2599983215,"Wyrmrest Храм - bottom to middle, Dragonblight - Begin",,,,,,,,"Wyrmrest Храм - bottom to middle, Dragonblight - Begin",,,,,,,,0xFF01FE,26899,26899,
285,0,0.0,0.0,0.0,"Quest - Wintergarde -> Stars' Rest (Start)",,,,,,,,"Quest - Wintergarde -> Stars' Rest (Start)",,,,,,,,0xFF01FE,0,27764,
286,571,3503.76000977,1990.10998535,65.1200027466,"Quest - Wintergarde -> Stars' Rest (End)",,,,,,,,"Quest - Wintergarde -> Stars' Rest (End)",,,,,,,,0xFF01FE,0,0,
287,0,0.0,0.0,0.0,"Quest - Valgarde -> Westguard Keep Start",,,,,,,,"Quest - Valgarde -> Westguard Keep Start",,,,,,,,0xFF01FE,0,27491,
288,571,1341.22998047,-3288.90991211,174.460006714,"Quest - Valgarde -> Westguard Keep End",,,,,,,,"Quest - Valgarde -> Westguard Keep End",,,,,,,,0xFF01FE,0,0,
289,571,3587.84008789,5973.29980469,136.220001221,"Янтарний хребет, Борейська Тундра",,,,,,,,"Янтарний хребет, Борейська Тундра",,,,,,,,0xFF01FE,26899,26899,
290,571,5450.29980469,-2606.27001953,306.910003662,"Срібна застава, Зул'Драк",,,,,,,,"Срібна застава, Зул'Драк",,,,,,,,0xFF01FE,28172,0,
291,571,5028.68994141,-3020.37988281,292.420013428,"Ruined City Post 01, Zul'Drak",,,,,,,,"Ruined City Post 01, Zul'Drak",,,,,,,,0xFF01FE,0,0,
292,0,-8338.36035156,1107.01000977,57.2599983215,"Flavor - Stormwind Harbor - Start",,,,,,,,"Flavor - Stormwind Harbor - Start",,,,,,,,0xFF01FE,541,0,
293,0,-8341.08984375,1101.84997559,57.2599983215,"Flavor - Stormwind Harbor - Stop",,,,,,,,"Flavor - Stormwind Harbor - Stop",,,,,,,,0xFF01FE,0,0,
294,571,2792.44995117,908.960021973,22.3299999237,"Моа'ки, Драконовий Погост",,,,,,,,"Моа'ки, Драконовий Погост",,,,,,,,0xFF01FE,2224,541,
295,571,785.270019531,-2887.70996094,5.88999986649,"Камагуа, Виючий Фіорд",,,,,,,,"Камагуа, Виючий Фіорд",,,,,,,,0xFF01FE,2224,541,
296,571,2919.18994141,4046.09008789,1.85000002384,"Уну'пе, Борейська Тундра",,,,,,,,"Уну'пе, Борейська Тундра",,,,,,,,0xFF01FE,2224,541,
297,571,5557.56982422,5802.04980469,-66.0899963379,"Sholazar Basin - Quest - Reconnaisance - Start",,,,,,,,"Sholazar Basin - Quest - Reconnaisance - Start",,,,,,,,0xFF01FE,0,0,
