long,long,long,long,flags,long,long,long,long,long,long,str,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,flags,long,None,None,long,float,float,None,
1002,0,44,337,0x40000040,0,0,0,0,0,16,"Three Corners",,,,,,,,"Три Кути",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1016,0,11,338,0x40000040,0,0,0,0,0,28,"Direforge Hill",,,,,,,,"Зловещий пагорб",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1017,0,11,339,0x40000040,0,0,0,0,0,30,"Raptor Ridge",,,,,,,,"Хребет Ящерів",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1018,0,11,340,0x40000040,0,0,0,0,0,25,"Black Channel Marsh",,,,,,,,"Чорна трясина",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1019,0,139,341,0x40000040,0,0,0,0,0,0,"The Green Belt",,,,,,,,"Зелений Пояс",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1020,0,11,342,0x40000040,0,0,0,0,0,22,"Mosshide Fen",,,,,,,,"Болото Мохошкуров",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1021,0,11,343,0x40000040,0,0,0,0,0,22,"Thelgen Rock",,,,,,,,"Печера Тельгена",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1022,0,11,344,0x40000040,0,0,0,0,0,24,"Bluegill Marsh",,,,,,,,"Болота Синежабрых",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1023,0,11,345,0x40000040,0,0,0,0,0,25,"Saltspray Glen",,,,,,,,"Долина Солевого Тумана",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1024,0,11,346,0x40000040,0,0,0,0,0,20,"Sundown Marsh",,,,,,,,"Закатное болото",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1025,0,11,347,0x40000040,0,0,0,0,0,21,"The Green Belt",,,,,,,,"Зелений Пояс",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1036,0,11,391,0x40000040,0,0,0,0,0,28,"Angerfang Encampment",,,,,,,,"Табір Злого Ікла",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1037,0,11,392,0x40000040,0,0,0,0,0,25,"Grim Batol",,,,,,,,"Грім Батол",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1038,0,11,393,0x40000040,0,0,0,0,0,25,"Dragonmaw Gates",,,,,,,,"Ворота Драконової Пащі",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1039,0,11,394,0x40000040,0,0,0,0,0,25,"The Lost Fleet",,,,,,,,"Погибший Флот",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1056,0,267,348,0x40000040,0,0,31,0,0,31,"Darrow Hill",,,,,,,,"Пагорб Дарроу",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1057,0,267,349,0x40000040,0,0,31,0,0,0,"Thoradin's Wall",,,,,,,,"Стіна Торадина",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1076,1,406,368,0x40000040,0,0,0,0,0,21,"Webwinder Path",,,,,,,,"Павучий Тракт",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1097,0,10,351,0x40000040,0,0,0,0,0,19,"The Hushed Bank",,,,,,,,"Затихший берег",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1098,0,10,352,0x40000040,0,0,0,0,0,30,"Manor Mistmantle",,,,,,,,"Маєток Мистмантла",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1099,1,357,353,0x40200040,0,0,0,226,0,42,"Camp Mojache",,,,,,,,"Табір Мохаче",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1100,1,357,395,0x40000040,0,0,0,0,0,41,"Grimtotem Compound",,,,,,,,"Табір Зловещего Тотема",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1101,1,357,396,0x40000040,0,0,0,0,0,44,"The Writhing Deep",,,,,,,,"Гудящая Бездна",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1102,1,357,350,0x40000040,0,0,0,0,0,0,"Wildwind Lake",,,,,,,,"Штормовое озеро",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1103,1,357,397,0x40000040,0,0,0,0,0,42,"Gordunni Outpost",,,,,,,,"Поселение Гордунни",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1104,1,357,398,0x40000040,0,0,0,0,0,0,"Mok'Gordun",,,,,,,,"Мок'Гордун",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1105,1,357,354,0x40000040,0,0,0,0,0,44,"Feral Scar Vale",,,,,,,,"Долина Лютої Скелі",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1106,1,357,399,0x40000040,0,0,0,0,0,46,"Frayfeather Highlands",,,,,,,,"Высокогорье Блеклых Перьев",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1107,1,357,400,0x40000040,0,0,0,0,0,0,"Idlewind Lake",,,,,,,,"Озеро Тихого Вітри",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1108,1,357,355,0x40000040,0,0,0,0,0,49,"The Forgotten Coast",,,,,,,,"Забутий берег",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1109,1,357,401,0x40000040,0,0,0,0,0,0,"East Pillar",,,,,,,,"Східна колона",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1110,1,357,402,0x40000040,0,0,0,0,0,0,"West Pillar",,,,,,,,"Західна колона",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1111,1,357,403,0x40000040,0,0,0,0,0,60,"Dream Bough",,,,,,,,"Сонні Гілки",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1112,1,357,404,0x40000040,0,0,0,0,0,0,"Jademir Lake",,,,,,,,"Нефритовое озеро",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1113,1,357,405,0x40000040,0,0,0,0,0,60,"Oneiros",,,,,,,,"Онейрос",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1114,1,357,356,0x40000040,0,0,0,0,0,49,"Ruins of Ravenwind",,,,,,,,"Руїни Лютого Вітру",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1115,1,357,357,0x40000040,0,0,0,0,0,0,"Rage Scar Hold",,,,,,,,"Печера Шаленого оврага",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1116,1,357,358,0x40200040,0,0,0,0,0,0,"Feathermoon Stronghold",,,,,,,,"Фортеця Пернатого Місяця",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1117,1,357,359,0x40000040,0,0,0,0,0,0,"Ruins of Solarsal",,,,,,,,"Руїни Соларсаля",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1118,1,357,360,0x40000040,0,0,0,0,0,0,"Lower Wilds UNUSED",,,,,,,,"Низинные чащобы (UNUSED)",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1119,1,357,369,0x40000040,0,0,0,0,0,48,"The Twin Colossals",,,,,,,,"Два Колосса",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1120,1,357,413,0x40000040,0,0,0,0,0,43,"Sardor Isle",,,,,,,,"Острів Сардор",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1121,1,357,414,0x40000040,0,0,0,0,0,44,"Isle of Dread",,,,,,,,"Острів Жаху",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1136,1,357,361,0x40000040,0,0,0,0,0,0,"High Wilderness",,,,,,,,"Высокогорные дебри",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1137,1,357,370,0x40000040,0,0,0,0,0,42,"Lower Wilds",,,,,,,,"Низинные чащобы",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1156,1,17,362,0x40000040,0,0,0,0,0,0,"Southern Barrens",,,,,,,,"Південні степи",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1157,1,17,406,0x40000040,0,0,0,0,0,0,"Southern Gold Road",,,,,,,,"Південний Золотой Шлях",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1176,209,0,371,0x0,0,0,25,176,0,0,"Zul'Farrak",,,,,,,,"Зул'Фаррак",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1196,575,0,363,0x0,0,0,0,0,0,0,"Utgarde Pinnacle",,,,,,,,"Вершина Утгард",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.699999988079,,
1216,1,16,364,0x40000040,0,0,0,0,0,49,"Timbermaw Hold",,,,,,,,"Фортеця Древобрюхов",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1217,1,16,365,0x40000040,0,0,0,0,0,0,"Vanndir Encampment",,,,,,,,"Табір Ванндир",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1218,1,16,366,0x40000040,0,0,0,0,0,0,"TESTAzshara",,,,,,,,"ТЕСТАзшара",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1219,1,16,367,0x40000040,0,0,0,0,0,52,"Legash Encampment",,,,,,,,"Табір Легаш",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1220,1,16,415,0x40000040,0,0,0,76,302,52,"Thalassian Base Camp",,,,,,,,"Талассийское поселение",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1221,1,16,416,0x40000040,0,0,0,176,0,48,"Ruins of Eldarath",,,,,,,,"Руїни Эльдарата",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1222,1,16,417,0x40000040,0,0,0,176,0,0,"Hetaera's Clutch",,,,,,,,"Гніздо Хетайры",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1223,1,16,418,0x40000040,0,0,0,15,0,0,"Temple of Zin-Malor",,,,,,,,"Храм Зин-Малор",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1224,1,16,419,0x40000040,0,0,0,0,0,0,"Bear's Head",,,,,,,,"Медвежий кут",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1225,1,16,420,0x40000040,0,0,0,0,0,49,"Ursolan",,,,,,,,"Урсолан",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1226,1,16,421,0x40000040,0,0,0,176,0,55,"Temple of Arkkoran",,,,,,,,"Храм Арккоран",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1227,1,16,422,0x40000040,0,0,0,176,0,50,"Bay of Storms",,,,,,,,"Затока Бурь",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1228,1,16,423,0x40000040,0,0,0,176,0,52,"The Shattered Strand",,,,,,,,"Розбите узбережжя",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1229,1,16,424,0x40000040,0,0,0,176,0,53,"Tower of Eldara",,,,,,,,"Вежа Эльдары",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1230,1,16,425,0x40000040,0,0,0,176,0,51,"Jagged Reef",,,,,,,,"Гострі рифи",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1231,1,16,426,0x40000040,0,0,0,176,0,52,"Southridge Beach",,,,,,,,"Південний пляж",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1232,1,16,427,0x40000040,0,0,0,176,0,54,"Ravencrest Monument",,,,,,,,"Памятник Гребню Ворона",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1233,1,16,428,0x40000040,0,0,0,215,301,49,"Forlorn Ridge",,,,,,,,"Покинута Вершина",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1234,1,16,429,0x40000040,0,0,0,0,0,52,"Lake Mennar",,,,,,,,"Озеро Меннар",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1235,1,16,430,0x40000040,0,0,0,15,0,46,"Shadowsong Shrine",,,,,,,,"Святилище Пісні Тіней",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1236,1,16,431,0x40000040,0,0,0,3,121,45,"Haldarr Encampment",,,,,,,,"Табір Халдарр",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1237,1,16,432,0x40000040,0,0,0,228,0,49,"Valormok",,,,,,,,"Валормок",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1256,1,16,433,0x40000040,0,0,0,176,0,42,"The Ruined Reaches",,,,,,,,"Опустошенный берег",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1276,1,331,434,0x40000040,0,0,0,0,0,0,"The Talondeep Path",,,,,,,,"Тунель Кігтя",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1277,1,406,435,0x40000040,0,0,0,0,0,20,"The Talondeep Path",,,,,,,,"Тунель Кігтя",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1296,1,14,372,0x40000040,0,0,0,0,0,0,"Rocktusk Farm",,,,,,,,"Ферма Кам'яного Ікла",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1297,1,14,407,0x40000040,0,0,0,0,0,0,"Jaggedswine Farm",,,,,,,,"Свиноферма",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1316,1,17,436,0x40000040,0,0,70,176,0,33,"Razorfen Downs",,,,,,,,"Кургани Голкошкірих",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1336,1,440,373,0x40000040,0,0,0,0,0,45,"Lost Rigger Cove",,,,,,,,"Бухта Зірваних Вітрил",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1337,70,0,437,0x0,0,0,0,0,0,0,"Uldaman",,,,,,,,"Ульдаман",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1338,0,130,438,0x40000040,0,0,0,0,0,0,"Lordamere Lake",,,,,,,,"Озеро Лордамер",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1339,0,36,439,0x40000040,0,0,0,0,0,0,"Lordamere Lake",,,,,,,,"Озеро Лордамер",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1357,0,36,440,0x40000040,0,0,37,10,0,36,"Gallows' Corner",,,,,,,,"Перехрестя Висельников",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1377,1,0,374,0x40,0,0,38,176,0,0,"Silithus",,,,,,,,"Сілітус",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.300000011921,,
1397,169,0,376,0x40,0,0,0,0,0,0,"Emerald Forest",,,,,,,,"Смарагдовий ліс",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1417,109,0,377,0x0,0,0,0,0,0,0,"Sunken Temple",,,,,,,,"Затонулий Храм",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1437,0,4,378,0x40000040,0,0,0,0,0,47,"Dreadmaul Hold",,,,,,,,"Форт Молота Жаху",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1438,0,4,379,0x40200040,0,0,0,205,303,50,"Nethergarde Keep",,,,,,,,"Фортеця Вартових Порожнечі",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1439,0,4,380,0x40000040,0,0,0,0,0,55,"Dreadmaul Post",,,,,,,,"Стоянка Молота Жаху",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1440,0,4,381,0x40000040,0,0,0,0,0,51,"Serpent's Coil",,,,,,,,"Змеиные Кільця",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1441,0,4,382,0x40000040,0,0,0,10,0,54,"Altar of Storms",,,,,,,,"Вівтар Бурь",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1442,0,51,383,0x40000040,0,0,0,0,0,48,"Firewatch Ridge",,,,,,,,"Вогняний Хребет варти",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1443,0,51,384,0x40000040,0,0,0,0,0,0,"The Slag Pit",,,,,,,,"Шлаковая Яма",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1444,0,51,385,0x40000040,0,0,0,0,0,56,"The Sea of Cinders",,,,,,,,"Море Попелу",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1445,0,51,386,0x40000040,0,0,0,0,0,0,"Blackrock Mountain",,,,,,,,"Чорна Гора",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1446,0,51,387,0x40200040,0,0,0,0,0,0,"Thorium Point",,,,,,,,"Табір Братства Торія",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1457,0,4,388,0x40000040,0,0,0,0,0,47,"Garrison Armory",,,,,,,,"Мастерские Гарнизона",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1477,109,0,389,0x0,0,0,33,3,0,0,"The Temple of Atal'Hakkar",,,,,,,,"Храм Атал'Хаккара",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1497,0,0,685,0x4200138,0,0,40,0,0,10,"Undercity",,,,,,,,"Підмісто",,,,,,,,0xFF01FE,0x4,0,,,0,-500.0,0.0,,
1517,0,3,686,0x40000040,0,0,0,0,0,0,"Uldaman",,,,,,,,"Ульдаман",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1518,0,40,687,0x40000040,0,0,0,0,0,0,"Not Used Deadmines",,,,,,,,"Не использующиеся Мертві Копальні",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1519,0,0,688,0x200138,0,0,31,13,61,10,"Stormwind City",,,,,,,,"Штормград",,,,,,,,0xFF01FE,0x2,0,,,0,-500.0,0.0,,
1537,0,0,689,0x200138,0,0,42,0,0,10,"Ironforge",,,,,,,,"Стальгорн",,,,,,,,0xFF01FE,0x2,0,,,0,-500.0,0.0,,
1557,1,400,690,0x40000040,0,0,0,0,0,0,"Splithoof Hold",,,,,,,,"Оплот Треснувшего Копита",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1577,0,33,691,0x40000040,0,0,0,0,0,0,"The Cape of Stranglethorn",,,,,,,,"Мис Тернистої долини",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1578,0,33,692,0x40000040,0,0,0,0,0,0,"Southern Savage Coast",,,,,,,,"Південний Дикий Берег",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1579,0,0,693,0x40,0,0,0,0,0,0,"Unused The Deadmines 002",,,,,,,,"Unused Мертві Копальні 002",,,,,,,,0xFF01FE,0x2,0,,,0,-500.0,0.0,,
1580,0,1579,694,0x40000040,0,0,0,0,0,0,"Unused Ironclad Cove 003",,,,,,,,"Unused Ironclad Cove 003",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1581,36,0,695,0x0,76,0,53,204,0,0,"The Deadmines",,,,,,,,"Мертві Копальні",,,,,,,,0xFF01FE,0x2,0,,,0,-500.0,0.0,,
1582,36,1581,696,0x40000000,76,0,53,204,181,0,"Ironclad Cove",,,,,,,,"Потайная бухта",,,,,,,,0xFF01FE,0x2,0,,,0,-500.0,0.0,,
1583,229,0,697,0x0,0,0,0,0,0,0,"Blackrock Spire",,,,,,,,"Пік Чорної Гори",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1584,230,0,698,0x0,0,0,0,0,0,0,"Blackrock Depths",,,,,,,,"Глибини Чорної Гори",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1597,1,17,699,0x40000040,0,0,0,0,0,0,"Raptor Grounds UNUSED",,,,,,,,"Землі ящерів (UNUSED)",,,,,,,,0xFF01FE,0x4,0,,,0,-500.0,0.0,,
1598,1,17,700,0x40000040,0,0,0,0,0,0,"Grol'dom Farm UNUSED",,,,,,,,"Ферма Гроль'дома (UNUSED)",,,,,,,,0xFF01FE,0x4,0,,,0,-500.0,0.0,,
1599,1,17,701,0x40000040,0,0,0,0,0,0,"Mor'shan Base Camp",,,,,,,,"Табір Мор'шан",,,,,,,,0xFF01FE,0x4,0,,,0,-500.0,0.0,,
1600,1,17,702,0x40000040,0,0,0,0,0,0,"Honor's Stand UNUSED",,,,,,,,"Застава Честі (UNUSED)",,,,,,,,0xFF01FE,0x4,0,,,0,-500.0,0.0,,
1601,1,17,703,0x40000040,0,0,0,0,0,0,"Blackthorn Ridge UNUSED",,,,,,,,"Хребет Чорний шип (UNUSED)",,,,,,,,0xFF01FE,0x4,0,,,0,-500.0,0.0,,
1602,1,17,704,0x40000040,0,0,0,0,0,0,"Bramblescar UNUSED",,,,,,,,"Ежевичный Шип (UNUSED)",,,,,,,,0xFF01FE,0x4,0,,,0,-500.0,0.0,,
1603,1,17,705,0x40000040,0,0,0,0,0,0,"Agama'gor UNUSED",,,,,,,,"Агамагор (UNUSED)",,,,,,,,0xFF01FE,0x4,0,,,0,-500.0,0.0,,
1617,0,1519,706,0x40000040,0,0,43,13,61,0,"Valley of Heroes",,,,,,,,"Алея Героїв",,,,,,,,0xFF01FE,0x2,0,,,0,-500.0,0.0,,
1637,1,0,707,0x200138,0,0,25,7,62,10,"Orgrimmar",,,,,,,,"Оргріммар",,,,,,,,0xFF01FE,0x4,0,,,0,-500.0,0.0,,
1638,1,0,708,0x200138,0,0,45,226,381,10,"Thunder Bluff",,,,,,,,"Громовий Перевал",,,,,,,,0xFF01FE,0x4,0,,,0,-500.0,0.0,,
1639,1,1638,709,0x40000040,0,0,0,0,0,0,"Elder Rise",,,,,,,,"Вершина Старійшин",,,,,,,,0xFF01FE,0x4,0,,,0,-500.0,0.0,,
1640,1,1638,710,0x40000040,0,0,0,0,0,0,"Spirit Rise",,,,,,,,"Вершина Духів",,,,,,,,0xFF01FE,0x4,0,,,0,-500.0,0.0,,
1641,1,1638,711,0x40000040,0,0,0,0,0,0,"Hunter Rise",,,,,,,,"Вершина Охотников",,,,,,,,0xFF01FE,0x4,0,,,0,-500.0,0.0,,
1657,1,0,712,0x200138,0,0,48,76,63,10,"Darnassus",,,,,,,,"Дарнас",,,,,,,,0xFF01FE,0x2,0,,,0,-500.0,0.0,,
1658,1,1657,713,0x40000040,0,0,0,0,103,0,"Cenarion Enclave",,,,,,,,"Анклав Кенарія",,,,,,,,0xFF01FE,0x2,0,,,0,-500.0,0.0,,
1659,1,1657,714,0x40000040,0,0,0,0,0,0,"Craftsmen's Terrace",,,,,,,,"Тераса Ремесленников",,,,,,,,0xFF01FE,0x2,0,,,0,-500.0,0.0,,
1660,1,1657,715,0x40000040,0,0,0,0,0,0,"Warrior's Terrace",,,,,,,,"Тераса Воїнів",,,,,,,,0xFF01FE,0x2,0,,,0,-500.0,0.0,,
1661,1,1657,716,0x40000040,0,0,0,0,0,0,"The Temple Gardens",,,,,,,,"Храмовые сады",,,,,,,,0xFF01FE,0x2,0,,,0,-500.0,0.0,,
1662,1,1657,717,0x40000040,0,0,0,0,0,0,"Tradesmen's Terrace",,,,,,,,"Тераса Торговцев",,,,,,,,0xFF01FE,0x2,0,,,0,-500.0,0.0,,
1677,0,36,718,0x40000040,0,0,0,0,0,33,"Gavin's Naze",,,,,,,,"Возвышенность Гэвина",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1678,0,36,719,0x40000040,0,0,0,0,0,33,"Sofera's Naze",,,,,,,,"Возвышенность Соферы",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1679,0,36,720,0x40000040,0,0,0,0,0,33,"Corrahn's Dagger",,,,,,,,"Уступ Коррана",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1680,0,36,721,0x40000040,0,0,0,0,0,34,"The Headland",,,,,,,,"Високий отрог",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1681,0,36,722,0x40000040,0,0,0,0,0,31,"Misty Shore",,,,,,,,"Мглистый берег",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1682,0,36,723,0x40000040,0,0,0,0,0,39,"Dandred's Fold",,,,,,,,"Овчарня Дандреда",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1683,0,36,724,0x40000040,0,0,37,10,0,34,"Growless Cave",,,,,,,,"Промерзла печера",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1684,0,36,725,0x40000040,0,0,0,0,0,30,"Chillwind Point",,,,,,,,"Берег Промерзлого Вітру",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1697,1,17,726,0x40000040,0,0,0,0,0,18,"Raptor Grounds",,,,,,,,"Землі Ящерів",,,,,,,,0xFF01FE,0x4,0,,,0,-500.0,0.0,,
1698,1,17,727,0x40000040,0,0,0,0,0,20,"Bramblescar",,,,,,,,"Ежевичный яр",,,,,,,,0xFF01FE,0x4,0,,,0,-500.0,0.0,,
1699,1,17,728,0x40000040,0,0,0,0,0,13,"Thorn Hill",,,,,,,,"Тернистый пагорб",,,,,,,,0xFF01FE,0x4,0,,,0,-500.0,0.0,,
1700,1,17,729,0x40000040,0,0,0,0,0,19,"Agama'gor",,,,,,,,"Агама'гір",,,,,,,,0xFF01FE,0x4,0,,,0,-500.0,0.0,,
1701,1,17,730,0x40000040,0,0,0,0,0,20,"Blackthorn Ridge",,,,,,,,"Хребет Чорних Шипов",,,,,,,,0xFF01FE,0x4,0,,,0,-500.0,0.0,,
1702,1,17,731,0x40200040,0,0,0,0,0,18,"Honor's Stand",,,,,,,,"Застава Честі",,,,,,,,0xFF01FE,0x4,0,,,0,-500.0,0.0,,
1703,1,17,732,0x40200040,0,0,0,0,0,17,"The Mor'shan Rampart",,,,,,,,"Застава Мор'шан",,,,,,,,0xFF01FE,0x4,0,,,0,-500.0,0.0,,
1704,1,17,733,0x40000040,0,0,0,0,0,11,"Grol'dom Farm",,,,,,,,"Ферма Гроль'дома",,,,,,,,0xFF01FE,0x4,0,,,0,-500.0,0.0,,
1717,1,17,734,0x40000040,0,0,0,0,0,24,"Razorfen Kraul",,,,,,,,"Лабіринти Голкошкірих",,,,,,,,0xFF01FE,0x4,0,,,0,-500.0,0.0,,
1718,1,17,735,0x40200040,0,0,0,0,0,0,"The Great Lift",,,,,,,,"Великий Підйомник",,,,,,,,0xFF01FE,0x4,0,,,0,-500.0,0.0,,
1737,0,33,736,0x40000040,0,0,0,0,0,40,"Mistvale Valley",,,,,,,,"Мглистая долина",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1738,0,33,737,0x40000040,0,0,0,0,0,43,"Nek'mani Wellspring",,,,,,,,"Родник Нек'Мани",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1739,0,33,738,0x40000040,0,0,0,0,0,42,"Bloodsail Compound",,,,,,,,"Табір Кривавого Вітрила",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
1740,0,33,739,0x40000040,0,0,0,0,0,36,"Venture Co. Base Camp",,,,,,,,"Головний табір Торгової Компанії",,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
