long,long,long,str,
38067,5999,3,"Охоронця смерті Диллинжера",
53649,5999,4,"Вартовим смерті Диллинжером",
69231,5999,5,"Вартовому смерті Диллинжере",
6904,6000,1,"Охоронця смерті-гвардейца",
22486,6000,2,"Вартовому смерті-гвардейцу",
38068,6000,3,"Охоронця смерті-гвардейца",
53650,6000,4,"Вартовим смерті-вардейцем",
69232,6000,5,"Вартовому смерті-гвардейце",
6905,6001,1,"Охоронця смерті Флоренс",
22487,6001,2,"Вартовому смерті Флоренс",
38069,6001,3,"Охоронця смерті Флоренс",
53651,6001,4,"Вартовим смерті Флоренс",
69233,6001,5,"Вартовому смерті Флоренс",
6906,6002,1,"Охоронця смерті Фаулза",
22488,6002,2,"Вартовому смерті Фаулзу",
38070,6002,3,"Охоронця смерті Фаулза",
53652,6002,4,"Вартовим смерті Фаулзом",
69234,6002,5,"Вартовому смерті Фаулзе",
6907,6003,1,"Охоронця смерті Гевина",
22489,6003,2,"Вартовому смерті Гевину",
38071,6003,3,"Охоронця смерті Гевина",
53653,6003,4,"Вартовим смерті Гевином",
69235,6003,5,"Вартовому смерті Гевине",
6908,6004,1,"Охоронця смерті Гумберта",
22490,6004,2,"Вартовому смерті Гумберту",
38072,6004,3,"Охоронця смерті Гумберта",
53654,6004,4,"Вартовим смерті Гумбертом",
69236,6004,5,"Вартовому смерті Гумберте",
6909,6005,1,"Охоронця смерті Кела",
22491,6005,2,"Вартовому смерті Келу",
38073,6005,3,"Охоронця смерті Кела",
53655,6005,4,"Вартовим смерті Келом",
69237,6005,5,"Вартовому смерті Келе",
6910,6006,1,"Охоронця смерті Лоренса",
22492,6006,2,"Вартовому смерті Лоренсу",
38074,6006,3,"Охоронця смерті Лоренса",
53656,6006,4,"Вартовим смерті Лоренсом",
69238,6006,5,"Вартовому смерті Лоренсе",
6911,6007,1,"Охоронця смерті Лоусона",
22493,6007,2,"Вартовому смерті Лоусону",
38075,6007,3,"Охоронця смерті Лоусона",
53657,6007,4,"Вартовим смерті Лоусоном",
69239,6007,5,"Вартовому смерті Лоусоне",
6912,6008,1,"Охоронця смерті Линнеи",
22494,6008,2,"Вартовому смерті Линнее",
38076,6008,3,"Охоронця смерті Линнею",
53658,6008,4,"Вартовим смерті Линнеей",
69240,6008,5,"Вартовому смерті Линнее",
6913,6009,1,"Охоронця смерті Лундмарка",
22495,6009,2,"Вартовому смерті Лудмарку",
38077,6009,3,"Охоронця смерті Лундмарка",
53659,6009,4,"Вартовим смерті Лундмарком",
69241,6009,5,"Вартовому смерті Лундмарке",
6914,6010,1,"Охоронця смерті Морриса",
22496,6010,2,"Вартовому смерті Моррису",
38078,6010,3,"Охоронця смерті Морриса",
53660,6010,4,"Вартовим смерті Моррисом",
69242,6010,5,"Вартовому смерті Моррисе",
6915,6011,1,"Охоронця смерті Морта",
22497,6011,2,"Вартовому смерті Морту",
38079,6011,3,"Охоронця смерті Морта",
53661,6011,4,"Вартовим смерті Мортом",
69243,6011,5,"Вартовому смерті Морте",
6916,6012,1,"Охоронця смерті Оливера",
22498,6012,2,"Вартовому смерті Оливеру",
38080,6012,3,"Охоронця смерті Оливера",
53662,6012,4,"Вартовим смерті Оливером",
69244,6012,5,"Вартовому смерті Оливере",
6917,6013,1,"Охоронця Смерті Филиппа",
22499,6013,2,"Вартовому Смерті Филиппу",
38081,6013,3,"Охоронця Смерті Филиппа",
53663,6013,4,"Вартовим Смерті Филиппом",
69245,6013,5,"Вартовому Смерті Филиппе",
6918,6014,1,"Охоронця смерті Подрига",
22500,6014,2,"Вартовому смерті Подригу",
38082,6014,3,"Охоронця смерті Подрига",
53664,6014,4,"Вартовим смерті Подригом",
69246,6014,5,"Вартовому смерті Подриге",
6919,6015,1,"Охоронця смерті Рэндольфа",
22501,6015,2,"Вартовому смерті Рэндольфу",
38083,6015,3,"Охоронця смерті Рэндольфа",
53665,6015,4,"Вартовим смерті Рэндольфом",
69247,6015,5,"Вартовому смерті Рэндольфе",
6920,6016,1,"Охоронця смерті Ройанны",
22502,6016,2,"Вартовому смерті Ройанне",
38084,6016,3,"Охоронця смерті Ройанну",
53666,6016,4,"Вартовим смерті Ройанной",
69248,6016,5,"Вартовому смерті Ройанне",
6921,6017,1,"Охоронця смерті Салтена",
22503,6017,2,"Вартовому смерті Салтену",
38085,6017,3,"Охоронця смерті Салтена",
53667,6017,4,"Вартовим смерті Салтеном",
69249,6017,5,"Вартовому смерті Салтене",
6922,6018,1,"Охоронця смерті Самсы",
22504,6018,2,"Вартовому смерті Самсе",
38086,6018,3,"Охоронця смерті Самсу",
53668,6018,4,"Вартовим смерті Самсой",
69250,6018,5,"Вартовому смерті Самсе",
6923,6019,1,"Охоронця смерті Симмера",
22505,6019,2,"Вартовому смерті Симмеру",
38087,6019,3,"Охоронця смерті Симмера",
53669,6019,4,"Вартовим смерті Симмером",
69251,6019,5,"Вартовому смерті Симмере",
6924,6020,1,"Охоронця смерті Терренса",
22506,6020,2,"Вартовому смерті Терренсу",
38088,6020,3,"Охоронця смерті Терренса",
53670,6020,4,"Вартовим смерті Терренсом",
69252,6020,5,"Вартовому смерті Терренсе",
6925,6021,1,"Охоронця смерті Тора",
22507,6021,2,"Вартовому смерті Тору",
38089,6021,3,"Охоронця смерті Тора",
53671,6021,4,"Вартовим смерті Тором",
69253,6021,5,"Вартовому смерті Торе",
6926,6022,1,"Гончей Смерті",
22508,6022,2,"Гончей Смерті",
38090,6022,3,"Гончую Смерті",
53672,6022,4,"Гончей Смерті",
69254,6022,5,"Гончей Смерті",
6927,6023,1,"Рыцаря Смерті",
22509,6023,2,"Рыцарю Смерті",
38091,6023,3,"Рыцаря Смерті",
53673,6023,4,"Рыцарем Смерті",
69255,6023,5,"Рыцаре Смерті",
6928,6024,1,"Капітана лицарів Смерті",
22510,6024,2,"Капітану лицарів Смерті",
38092,6024,3,"Капітана лицарів Смерті",
53674,6024,4,"Капітаном лицарів Смерті",
69256,6024,5,"Капітані лицарів Смерті",
6929,6025,1,"Кавалериста-лицаря смерті",
22511,6025,2,"Кавалеристу-лицарю смерті",
38093,6025,3,"Кавалериста-лицаря смерті",
53675,6025,4,"Кавалеристом-лицарем смерті",
69257,6025,5,"Кавалеристе-лицарі смерті",
6930,6026,1,"Заместителя лицаря Смерті",
22512,6026,2,"Заместителю лицаря Смерті",
38094,6026,3,"Заместителя лицаря Смерті",
53676,6026,4,"Заместителем лицаря Смерті",
69258,6026,5,"Заместителе лицаря Смерті",
6931,6027,1,"Вершителя-лицаря смерті",
22513,6027,2,"Воздаятелю-лицарю смерті",
38095,6027,3,"Вершителя-лицаря смерті",
53677,6027,4,"Воздаятелем-лицарем смерті",
69259,6027,5,"Воздаятеле-лицарем смерті",
6932,6028,1,"Скорпида-смертехлеста",
22514,6028,2,"Скорпиду-смертехлесту",
38096,6028,3,"Скорпида-смертехлеста",
53678,6028,4,"Скорпидом-смертехлестом",
69260,6028,5,"Скорпиде-смертехлесте",
6933,6029,1,"Острожала-смертехлеста",
22515,6029,2,"Острожалу-смертехлесту",
38097,6029,3,"Острожала-смертехлеста",
53679,6029,4,"Острожалом-смертехлестом",
69261,6029,5,"Острожале-смертехлесте",
6934,6030,1,"Бессмертного дозорного",
22516,6030,2,"Бессмертному дозорному",
38098,6030,3,"Бессмертного дозорного",
53680,6030,4,"Бессмертным дозорным",
69262,6030,5,"Бессмертном дозорном",
6935,6031,1,"Привратника смерті",
22517,6031,2,"Привратнику смерті",
38099,6031,3,"Привратника смерті",
53681,6031,4,"Привратником смерті",
69263,6031,5,"Привратнике смерті",
6936,6032,1,"Повелительницы смерті Двайр",
22518,6032,2,"Повелительнице смерті Двайр",
38100,6032,3,"Повелительницу смерті Двайр",
53682,6032,4,"Повелительницей смерті Двайр",
69264,6032,5,"Повелительнице смерті Двайр",
6937,6033,1,"Гиблопастя",
22519,6033,2,"Гиблопастю",
38101,6033,3,"Гиблопастя",
53683,6033,4,"Гиблопастем",
69265,6033,5,"Гиблопасте",
6938,6034,1,"Гармати Скверни Дверей Смерті",
22520,6034,2,"Гарматі Скверни Дверей Смерті",
38102,6034,3,"Гармату Скверни Дверей Смерті",
53684,6034,4,"Гарматою Скверни Дверей Смерті",
69266,6034,5,"Гарматі Скверни Дверей Смерті",
6939,6035,1,"Хранителя телепорта Воріт Смерті",
22521,6035,2,"Хранителю телепорта Воріт Смерті",
38103,6035,3,"Хранителя телепорта Воріт Смерті",
53685,6035,4,"Хранителем телепорта Воріт Смерті",
69267,6035,5,"Хранителе телепорта Воріт Смерті",
6940,6036,1,"Хранительницы чертогов Мертвой Головы",
22522,6036,2,"Хранительнице чертогов Мертвой Головы",
38104,6036,3,"Хранительницу чертогов Мертвой Головы",
53686,6036,4,"Хранительницей чертогов Мертвой Головы",
69268,6036,5,"Хранительнице чертогов Мертвой Головы",
6941,6037,1,"Бойца Смерті",
22523,6037,2,"Бойцу Смерті",
38105,6037,3,"Бойца Смерті",
53687,6037,4,"Бойцом Смерті",
69269,6037,5,"Бойце Смерті",
6942,6038,1,"Охоронця Смерті",
22524,6038,2,"Вартовому Смерті",
38106,6038,3,"Охоронця Смерті",
53688,6038,4,"Вартовим Смерті",
69270,6038,5,"Вартовому Смерті",
6943,6039,1,"Посланника Смертной Тіні",
22525,6039,2,"Посланнику Смертной Тіні",
38107,6039,3,"Посланника Смертной Тіні",
53689,6039,4,"Посланником Смертной Тіні",
69271,6039,5,"Посланнике Смертной Тіні",
6944,6040,1,"Архонта Смертной Тіні",
22526,6040,2,"Архонту Смертной Тіні",
38108,6040,3,"Архонта Смертной Тіні",
53690,6040,4,"Архонтом Смертной Тіні",
69272,6040,5,"Архонте Смертной Тіні",
6945,6041,1,"Гончей Смертной Тіні",
22527,6041,2,"Гончей Смертной Тіні",
38109,6041,3,"Гончую Смертной Тіні",
53691,6041,4,"Гончей Смертной Тіні",
69273,6041,5,"Гончей Смертной Тіні",
6946,6042,1,"Смертоносного чорта",
22528,6042,2,"Смертоносному чорту",
38110,6042,3,"Смертоносного чорта",
53692,6042,4,"Смертоносным чортом",
69274,6042,5,"Смертоносном чорті",
6947,6043,1,"Властителя Смертной Тіні",
22529,6043,2,"Властителю Смертной Тіні",
38111,6043,3,"Властителя Смертной Тіні",
53693,6043,4,"Властителем Смертной Тіні",
69275,6043,5,"Властителе Смертной Тіні",
6948,6044,1,"Чароплета Смертной Тіні",
22530,6044,2,"Чароплету Смертной Тіні",
38112,6044,3,"Чароплета Смертной Тіні",
53694,6044,4,"Чароплетом Смертной Тіні",
69276,6044,5,"Чароплете Смертной Тіні",
6949,6045,1,"Чорнокнижника Смертной Тіні",
22531,6045,2,"Чорнокнижнику Смертной Тіні",
38113,6045,3,"Чорнокнижника Смертной Тіні",
53695,6045,4,"Чорнокнижником Смертной Тіні",
69277,6045,5,"чорнокнижнику Смертной Тіні",
6950,6046,1,"Пряхи Смерті",
22532,6046,2,"Пряхе Смерті",
38114,6046,3,"Пряху Смерті",
53696,6046,4,"Пряхой Смерті",
69278,6046,5,"Пряхе Смерті",
6951,6047,1,"Селендры Вісниці Смерті",
22533,6047,2,"Селендре Вестнице Смерті",
38115,6047,3,"Селендру Вестницу Смерті",
53697,6047,4,"Селендрой Вестницей Смерті",
69279,6047,5,"Селендре Вестнице Смерті",
6952,6048,1,"Ловця смерті Адаманта",
22534,6048,2,"Ловчему смерті Адаманту",
38116,6048,3,"Ловця смерті Адаманта",
53698,6048,4,"Ловчим смерті Адамантом",
69280,6048,5,"Ловчем смерті Адаманте",
6953,6049,1,"Посланницы ловчих смерті",
22535,6049,2,"Посланнице ловчих смерті",
38117,6049,3,"Посланницу ловчих смерті",
53699,6049,4,"Посланницей ловчих смерті",
69281,6049,5,"Посланнице ловчих смерті",
6954,6050,1,"Ловця смерті Эрланда",
22536,6050,2,"Ловчему смерті Эрланду",
38118,6050,3,"Ловця смерті Эрланда",
53700,6050,4,"Ловчим смерті Эрландом",
69282,6050,5,"Ловчем смерті Эрланде",
6955,6051,1,"Ловчей смерті Фарлии",
22537,6051,2,"Ловчей смерті Фарлии",
38119,6051,3,"Ловчую смерті Фарлию",
53701,6051,4,"Ловчей смерті Фарлией",
69283,6051,5,"Ловчей смерті Фарлии",
6956,6052,1,"Ловця смерті Хейварда",
22538,6052,2,"Ловчему смерті Хейварду",
38120,6052,3,"Ловця смерті Хейварда",
53702,6052,4,"Ловчим смерті Хейвардом",
69284,6052,5,"Ловчем смерті Хейварде",
6957,6053,1,"Ловчей смерті Леш",
22539,6053,2,"Ловчей смерті Леш",
38121,6053,3,"Ловчую смерті Леш",
53703,6053,4,"Ловчей смерті Леш",
69285,6053,5,"Ловчей смерті Леш",
6958,6054,1,"Ловця смерті Малтендиса",
22540,6054,2,"Ловчему смерті Малтендису",
38122,6054,3,"Ловця смерті Малтендиса",
53704,6054,4,"Ловчим смерті Малтендисом",
69286,6054,5,"Ловчем смерті Малтендисе",
6959,6055,1,"Ловця смерті Мортиса",
22541,6055,2,"Ловчему смерті Мортису",
38123,6055,3,"Ловця смерті Мортиса",
53705,6055,4,"Ловчим смерті Мортисом",
69287,6055,5,"Ловчем смерті Мортисе",
6960,6056,1,"Ловця смерті Ратиэля",
22542,6056,2,"Ловчему смерті Ратиэлю",
38124,6056,3,"Ловця смерті Ратиэля",
53706,6056,4,"Ловчим смерті Ратиэлем",
69288,6056,5,"Ловчем смерті Ратиэле",
6961,6057,1,"Ловця смерті Разаэля",
22543,6057,2,"Ловчему смерті Разаэлю",
38125,6057,3,"Ловця смерті Разаэля",
53707,6057,4,"Ловчим смерті Разаэлем",
69289,6057,5,"Ловчем смерті Разаэле",
6962,6058,1,"Ловця смерті Винсента",
22544,6058,2,"Ловчему смерті Винсенту",
38126,6058,3,"Ловця смерті Винсента",
53708,6058,4,"Ловчим смерті Винсентом",
69290,6058,5,"Ловчем смерті Винсенте",
6963,6059,1,"Ловця смерті Зредуса",
22545,6059,2,"Ловчему смерті Зредусу",
38127,6059,3,"Ловця смерті Зредуса",
53709,6059,4,"Ловчим смерті Зредусом",
69291,6059,5,"Ловчем смерті Зредусе",
6964,6060,1,"Смертоносного тарантула",
22546,6060,2,"Смертоносному тарантулу",
38128,6060,3,"Смертоносного тарантула",
53710,6060,4,"Смертоносным тарантулом",
69292,6060,5,"Смертоносном тарантуле",
6965,6061,1,"Шептуньи Смерті",
22547,6061,2,"Шептунье Смерті",
38129,6061,3,"Шептунью Смерті",
53711,6061,4,"Шептуньей Смерті",
69293,6061,5,"Шептунье Смерті",
6966,6062,1,"Разлагающегося трупа",
22548,6062,2,"Разлагающемуся трупу",
38130,6062,3,"Разлагающегося трупа",
53712,6062,4,"Разлагающимся трупом",
69294,6062,5,"Разлагающемся трупе",
6967,6063,1,"Гниющего жаху",
22549,6063,2,"Гниющему ужасу",
38131,6063,3,"Гниющего жаху",
53713,6063,4,"Гниющим жахом",
69295,6063,5,"Гниющем жаху",
6968,6064,1,"Гниющего древня",
22550,6064,2,"Гниющему древню",
38132,6064,3,"Гниющего древня",
53714,6064,4,"Гниющим древнем",
69296,6064,5,"Гниющем древнем",
6969,6065,1,"Гниющего воїна",
22551,6065,2,"Гниющему воину",
38133,6065,3,"Гниющего воїна",
53715,6065,4,"Гниющим воїном",
69297,6065,5,"Гниющем воїні",
6970,6066,1,"Деседры Виллхем",
22552,6066,2,"Деседре Виллхем",
38134,6066,3,"Деседру Виллхем",
53716,6066,4,"Деседрой Виллхем",
69298,6066,5,"Деседре Виллхем",
6971,6067,1,"Палубного матроса Мойше",
22553,6067,2,"Палубному матросу Мойше",
38135,6067,3,"Палубного матроса Мойше",
53717,6067,4,"Палубным матросом Мойше",
69299,6067,5,"Палубном матросе Мойше",
6972,6068,1,"Разлагающегося вурдалака",
22554,6068,2,"Разлагающемуся вурдалаку",
38136,6068,3,"Разлагающегося вурдалака",
53718,6068,4,"Разлагающимся вурдалаком",
69300,6068,5,"Разлагающемся вурдалаке",
6973,6069,1,"Дряхлого копитня",
22555,6069,2,"Дряхлому копытню",
38137,6069,3,"Дряхлого копитня",
53719,6069,4,"Дряхлым копытнем",
69301,6069,5,"Дряхлом копытне",
6974,6070,1,"Дряхлого пса Темряви",
22556,6070,2,"Дряхлому псу Темряви",
38138,6070,3,"Дряхлого пса Темряви",
53720,6070,4,"Дряхлым псом Темряви",
69302,6070,5,"Дряхлом псе Темряви",
6975,6071,1,"Дряхлого вурдалака",
22557,6071,2,"Дряхлому вурдалаку",
38139,6071,3,"Дряхлого вурдалака",
53721,6071,4,"Дряхлым вурдалаком",
69303,6071,5,"Дряхлом вурдалаке",
6976,6072,1,"Дряхлого вартового",
22558,6072,2,"Дряхлому вартовому",
38140,6072,3,"Дряхлого вартового",
53722,6072,4,"Дряхлым вартовим",
69304,6072,5,"Дряхлом вартовому",
6977,6073,1,"Диба",
22559,6073,2,"Дибу",
38141,6073,3,"Диба",
53723,6073,4,"Дибом",
69305,6073,5,"Дибе",
6978,6074,1,"Дига",
22560,6074,2,"Дигу",
38142,6074,3,"Дига",
53724,6074,4,"Дигом",
69306,6074,5,"Диге",
6979,6075,1,"Сыща Жужело",
22561,6075,2,"Сыщу Жужело",
38143,6075,3,"Сыща Жужело",
53725,6075,4,"Сыщем Жужело",
69307,6075,5,"Сыще Жужело",
6980,6076,1,"Глубокопа",
22562,6076,2,"Глубокопу",
38144,6076,3,"Глубокопа",
53726,6076,4,"Глубокопом",
69308,6076,5,"Глубокопе",
6981,6077,1,"Глубинного жителя",
22563,6077,2,"Глубинному жителю",
38145,6077,3,"Глубинного жителя",
53727,6077,4,"Глубинным жителем",
69309,6077,5,"Глубинном жителе",
6982,6078,1,"Глубинного скрытня",
22564,6078,2,"Глубинному скрытню",
38146,6078,3,"Глубинного скрытня",
53728,6078,4,"Глубинным скрытнем",
69310,6078,5,"Глубинном скрытне",
6983,6079,1,"Глубинного крепкозуба",
22565,6079,2,"Глубинному крепкозубу",
38147,6079,3,"Глубинного крепкозуба",
53729,6079,4,"Глубинным крепкозубом",
69311,6079,5,"Глубинном крепкозубе",
6984,6080,1,"Глубоководного крепкозуброна",
22566,6080,2,"Глубоководному крепкозуброну",
38148,6080,3,"Глубоководного крепкозуброна",
53730,6080,4,"Глубоководным крепкозуброном",
69312,6080,5,"Глубоководном крепкозуброне",
6985,6081,1,"Глубинного острожала",
22567,6081,2,"Глубинному острожалу",
38149,6081,3,"Глубинного острожала",
53731,6081,4,"Глубинным острожалом",
69313,6081,5,"Глубинном острожале",
6986,6082,1,"Мандрівника глибин",
22568,6082,2,"Страннику глибин",
38150,6082,3,"Мандрівника глибин",
53732,6082,4,"Странником глибин",
69314,6082,5,"Страннике глибин",
6987,6083,1,"Детеныша густого мха",
22569,6083,2,"Детенышу густого мха",
38151,6083,3,"Детеныша густого мха",
53733,6083,4,"Детенышем густого мха",
69315,6083,5,"Детеныше густого мха",
6988,6084,1,"Моховой паучихи",
22570,6084,2,"Моховой паучихе",
38152,6084,3,"Моховую паучиху",
53734,6084,4,"Моховой паучихой",
69316,6084,5,"Моховой паучихе",
6989,6085,1,"Мохового ядоплюя",
22571,6085,2,"Моховому ядоплюю",
38153,6085,3,"Мохового ядоплюя",
53735,6085,4,"Моховым ядоплюем",
69317,6085,5,"Моховом ядоплюе",
6990,6086,1,"Мохового паука-вязальщика",
22572,6086,2,"Моховому пауку-вязальщику",
38154,6086,3,"Мохового паука-вязальщика",
53736,6086,4,"Моховым пауком-вязальщиком",
69318,6086,5,"Моховом пауке-вязальщике",
6991,6087,1,"Прогнившего топотуна",
22573,6087,2,"Прогнившему топотуну",
38155,6087,3,"Прогнившего топотуна",
53737,6087,4,"Прогнившим топотуном",
69319,6087,5,"Прогнившем топотуне",
6992,6088,1,"Загнившего плетуна",
22574,6088,2,"Загнившему плетуну",
38156,6088,3,"Загнившего плетуна",
53738,6088,4,"Загнившим плетуном",
69320,6088,5,"Загнившем плетуне",
6993,6089,1,"подземной крысы",
22575,6089,2,"подземной щуру",
38157,6089,3,"подземную крысу",
53739,6089,4,"подземной щуром",
69321,6089,5,"подземной щуру",
6994,6090,1,"Глубинного велетня",
22576,6090,2,"Глубинному велетню",
38158,6090,3,"Глубинного велетня",
53740,6090,4,"Глубинным велетнем",
69322,6090,5,"Глубинном велетні",
6995,6091,1,"Глубинного шукача",
22577,6091,2,"Глубинному искателю",
38159,6091,3,"Глубинного шукача",
53741,6091,4,"Глубинным искателем",
69323,6091,5,"Глубинном искателе",
6996,6092,1,"оленя",
22578,6092,2,"оленю",
38160,6092,3,"оленя",
53742,6092,4,"оленем",
69324,6092,5,"олені",
6997,6093,1,"Диза",
22579,6093,2,"Дизу",
38161,6093,3,"Диза",
53743,6093,4,"Дизом",
69325,6093,5,"Дизе",
6998,6094,1,"Защитницы Адриэли",
22580,6094,2,"Защитнице Адриэли",
38162,6094,3,"Защитницу Адриэль",
53744,6094,4,"Защитницей Адриэлью",
69326,6094,5,"Защитнице Адриэли",
6999,6095,1,"Защитницы Аки",
22581,6095,2,"Защитнице Аки",
38163,6095,3,"Защитницу Аки",
53745,6095,4,"Защитницей Аки",
69327,6095,5,"Защитнице Аки",
7000,6096,1,"Защитницы Ашун",
22582,6096,2,"Защитнице Ашун",
38164,6096,3,"Защитницу Ашун",
53746,6096,4,"Защитницей Ашун",
69328,6096,5,"Защитнице Ашун",
7001,6097,1,"Захисника Остона",
22583,6097,2,"Защитнику Остону",
38165,6097,3,"Захисника Остона",
53747,6097,4,"Защитником Остоном",
69329,6097,5,"Защитнике Остоне",
7002,6098,1,"Захисника Грашны",
22584,6098,2,"Защитнику Грашне",
38166,6098,3,"Захисника Грашну",
53748,6098,4,"Защитником Грашной",
69330,6098,5,"Защитнике Грашне",
7003,6099,1,"Захисника Хакви",
22585,6099,2,"Защитнику Хакви",
38167,6099,3,"Захисника Хакви",
53749,6099,4,"Защитником Хакви",
69331,6099,5,"Защитнике Хакви",
7004,6100,1,"Захисника Кадитула",
22586,6100,2,"Защитнику Кадитулу",
38168,6100,3,"Захисника Кадитула",
53750,6100,4,"Защитником Кадитулом",
69332,6100,5,"Защитнике Кадитуле",
7005,6101,1,"Захисника Кайгана",
22587,6101,2,"Защитнику Кайгану",
38169,6101,3,"Захисника Кайгана",
53751,6101,4,"Защитником Кайганом",
69333,6101,5,"Защитнике Кайгане",
7006,6102,1,"Захисника Кайада",
22588,6102,2,"Защитнику Кайаду",
38170,6102,3,"Захисника Кайада",
53752,6102,4,"Защитником Кайадом",
69334,6102,5,"Защитнике Кайаде",
7007,6103,1,"Защитницы Катрой",
22589,6103,2,"Защитнице Катрой",
38171,6103,3,"Защитницу Катрой",
53753,6103,4,"Защитницей Катрой",
69335,6103,5,"Защитнице Катрой",
7008,6104,1,"Захисника Краноса",
22590,6104,2,"Защитнику Краносу",
38172,6104,3,"Захисника Краноса",
53754,6104,4,"Защитником Краносом",
69336,6104,5,"Защитнике Краносе",
7009,6105,1,"Захисника Мордуна",
22591,6105,2,"Защитнику Мордуну",
38173,6105,3,"Захисника Мордуна",
53755,6105,4,"Защитником Мордуном",
69337,6105,5,"Защитнике Мордуне",
7010,6106,1,"Защитницы Сорли",
22592,6106,2,"Защитнице Сорли",
38174,6106,3,"Защитницу Сорли",
53756,6106,4,"Защитницей Сорли",
69338,6106,5,"Защитнице Сорли",
7011,6107,1,"Защитницы Урси",
22593,6107,2,"Защитнице Урси",
38175,6107,3,"Защитницу Урси",
53757,6107,4,"Защитницей Урси",
69339,6107,5,"Защитнице Урси",
7012,6108,1,"Захисника Зайбаха",
22594,6108,2,"Защитнику Зайбаху",
38176,6108,3,"Захисника Зайбаха",
53758,6108,4,"Защитником Зайбахом",
69340,6108,5,"Защитнике Зайбахе",
7013,6109,1,"Гвардейца Осквернителів",
22595,6109,2,"Гвардейцу Осквернителів",
38177,6109,3,"Гвардейца Осквернителів",
53759,6109,4,"Гвардейцем Осквернителів",
69341,6109,5,"Гвардейце Осквернителів",
7014,6110,1,"Емісара Осквернителів",
22596,6110,2,"Емісару Осквернителів",
38178,6110,3,"Емісара Осквернителів",
53760,6110,4,"Емісаром Осквернителів",
69342,6110,5,"Емісарі Осквернителів",
7015,6111,1,"Дейно",
22597,6111,2,"Дейно",
38179,6111,3,"Дейно",
53761,6111,4,"Дейно",
69343,6111,5,"Дейно",
7016,6112,1,"Дейрома",
22598,6112,2,"Дейрому",
38180,6112,3,"Дейрома",
53762,6112,4,"Дейромом",
69344,6112,5,"Дейроме",
7017,6113,1,"Декина",
22599,6113,2,"Декину",
38181,6113,3,"Декина",
53763,6113,4,"Декином",
69345,6113,5,"Декине",
7018,6114,1,"Деллы Рунического Тотема",
22600,6114,2,"Делле Руническому Тотему",
38182,6114,3,"Деллу Рунічний Тотем",
53764,6114,4,"Деллой Руническим Тотемом",
69346,6114,5,"Делле Руническом Тотемі",
7019,6115,1,"Дельфрума Кремнеборода",
22601,6115,2,"Дельфруму Кремнебороду",
38183,6115,3,"Дельфрума Кремнеборода",
53765,6115,4,"Дельфрумом Кремнебородом",
69347,6115,5,"Дельфруме Кремнебороде",
7020,6116,1,"Делгрена Очистителя",
22602,6116,2,"Делгрену Очистителю",
38184,6116,3,"Делгрена Очистителя",
53766,6116,4,"Делгреном Очистителем",
69348,6116,5,"Делгрене Очистителе",
7021,6117,1,"Делии Вераны",
22603,6117,2,"Делии Веране",
38185,6117,3,"Делию Верану",
53767,6117,4,"Делией Вераной",
69349,6117,5,"Делии Веране",
7022,6118,1,"Делианы",
22604,6118,2,"Делиане",
38186,6118,3,"Делиану",
53768,6118,4,"Делианой",
69350,6118,5,"Делиане",
7023,6119,1,"Деллы",
22605,6119,2,"Делле",
38187,6119,3,"Деллу",
53769,6119,4,"Деллой",
69351,6119,5,"Делле",
7024,6120,1,"Делликса Паросвиста",
22606,6120,2,"Делликсу Паросвисту",
38188,6120,3,"Делликса Паросвиста",
53770,6120,4,"Делликсом Паросвистом",
69352,6120,5,"Делликсе Паросвисте",
7025,6121,1,"Деллии",
22607,6121,2,"Деллии",
38189,6121,3,"Деллию",
53771,6121,4,"Деллией",
69353,6121,5,"Деллии",
7026,6122,1,"Делманиса Ненавистного",
22608,6122,2,"Делманису Ненавистному",
38190,6122,3,"Делманиса Ненавистного",
53772,6122,4,"Делманисом Ненавистным",
69354,6122,5,"Делманисе Ненавистном",
7027,6123,1,"Духа безумного друїда",
22609,6123,2,"Духу безумного друїда",
38191,6123,3,"Духа безумного друїда",
53773,6123,4,"Духом безумного друїда",
69355,6123,5,"Духу безумного друїда",
7028,6124,1,"Деметрии",
22610,6124,2,"Деметрии",
38192,6124,3,"Деметрию",
53774,6124,4,"Деметрией",
69356,6124,5,"Деметрии",
7029,6125,1,"Демизетты Клойс",
22611,6125,2,"Демизетте Клойс",
38193,6125,3,"Демизетту Клойс",
53775,6125,4,"Демизеттой Клойс",
69357,6125,5,"Демизетте Клойс",
7030,6126,1,"Демнула Дальногора",
22612,6126,2,"Демнулу Дальногору",
38194,6126,3,"Демнула Дальногора",
53776,6126,4,"Демнулом Дальногором",
69358,6126,5,"Демнуле Дальногоре",
7031,6127,1,"Легосо Подрывника",
22613,6127,2,"Легосо Подрывнику",
38195,6127,3,"Легосо Подрывника",
53777,6127,4,"Легосо Подрывником",
69359,6127,5,"Легосо Подрывнике",
7032,6128,1,"Демонических цепей",
22614,6128,2,"Демоническим цепям",
38196,6128,3,"Демонические цепи",
53778,6128,4,"Демоническими цепями",
69360,6128,5,"Демонических цепях",
7033,6129,1,"Демонического огоня",
22615,6129,2,"Демоническому огоню",
38197,6129,3,"Демонического огоня",
53779,6129,4,"Демоническим огонем",
69361,6129,5,"Демоническом огоне",
7034,6130,1,"Демона сферы",
22616,6130,2,"Демону сферы",
38198,6130,3,"Демона сферы",
