long,str,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,
1439,"знаходитися біля штейгера Разлкраза",,,,,,,,"знаходитися біля штейгера Разлкраза",,,,,,,,0xFF01FE,
1440,"знаходитися біля портала на озере Болотяних Вогників",,,,,,,,"знаходитися біля портала на озере Болотяних Вогників",,,,,,,,0xFF01FE,
1441,"Лезокрайські Гори - миссия - наблюдение за птицами",,,,,,,,"Лезокрайські Гори - миссия - наблюдение за птицами",,,,,,,,0xFF01FE,
1442,"знаходитися близько свечей Малуказа",,,,,,,,"знаходитися близько свечей Малуказа",,,,,,,,0xFF01FE,
1443,"знаходитися поруч з Кузницей Кривавої Глазницы",,,,,,,,"знаходитися поруч з Кузницей Кривавої Глазницы",,,,,,,,0xFF01FE,
1444,"знаходитися поруч з норой сурка",,,,,,,,"знаходитися поруч з норой сурка",,,,,,,,0xFF01FE,
1445,"знаходитися біля телепорта Геенны",,,,,,,,"знаходитися біля телепорта Геенны",,,,,,,,0xFF01FE,
1446,"знаходитися біля трупа командира з'єднання Горакса",,,,,,,,"знаходитися біля трупа командира з'єднання Горакса",,,,,,,,0xFF01FE,
1447,"знаходитися поруч з Башней Зет'Гора",,,,,,,,"знаходитися поруч з Башней Зет'Гора",,,,,,,,0xFF01FE,
1448,"знаходитися біля неохраняемого місця виклику",,,,,,,,"знаходитися біля неохраняемого місця виклику",,,,,,,,0xFF01FE,
1449,"знаходитися біля запертой клетки виверны",,,,,,,,"знаходитися біля запертой клетки виверны",,,,,,,,0xFF01FE,
1450,"знаходитися поруч з телом Горгрома",,,,,,,,"знаходитися поруч з телом Горгрома",,,,,,,,0xFF01FE,
1451,"знаходитися біля гармати Скверни Дверей Смерті",,,,,,,,"знаходитися біля гармати Скверни Дверей Смерті",,,,,,,,0xFF01FE,
1452,"знаходитися поруч з Перекопанным курганом: Коло Призыва",,,,,,,,"знаходитися поруч з Перекопанным курганом: Коло Призыва",,,,,,,,0xFF01FE,
1453,"знаходитися поруч з Алтарем Гока, і щоб Гок ще не був призван",,,,,,,,"знаходитися поруч з Алтарем Гока, і щоб Гок ще не був призван",,,,,,,,0xFF01FE,
1454,"знаходитися в Когтях Ворона",,,,,,,,"знаходитися в Когтях Ворона",,,,,,,,0xFF01FE,
1455,"знаходитися в Святилищі араккоа",,,,,,,,"знаходитися в Святилищі араккоа",,,,,,,,0xFF01FE,
1456,"наблизитися до алтарю Руйнівника Душ",,,,,,,,"наблизитися до алтарю Руйнівника Душ",,,,,,,,0xFF01FE,
1457,"знаходитися на платформе Транспортера Шартуула",,,,,,,,"знаходитися на платформе Транспортера Шартуула",,,,,,,,0xFF01FE,
1458,"знаходитися біля обломків кораблетрощі",,,,,,,,"знаходитися біля обломків кораблетрощі",,,,,,,,0xFF01FE,
1459,"знаходитися біля вітряного млина села Чорне Копито",,,,,,,,"знаходитися біля вітряного млина села Чорне Копито",,,,,,,,0xFF01FE,
1460,"знаходитися біля палатки Зловещего Тотема",,,,,,,,"знаходитися біля палатки Зловещего Тотема",,,,,,,,0xFF01FE,
1461,"підійти до пам'ятника сім'ї Хьяль",,,,,,,,"підійти до пам'ятника сім'ї Хьяль",,,,,,,,0xFF01FE,
1462,"знаходитися біля палаючої хатини тролів",,,,,,,,"знаходитися біля палаючої хатини тролів",,,,,,,,0xFF01FE,
1463,"знаходитися біля входу в Лігво Оніксії",,,,,,,,"знаходитися біля входу в Лігво Оніксії",,,,,,,,0xFF01FE,
1464,"знаходитися на пристани сторожки ""Болотный огонек""",,,,,,,,"знаходитися на пристани сторожки ""Болотный огонек""",,,,,,,,0xFF01FE,
1465,"знаходитися на платформе призывателя змій",,,,,,,,"знаходитися на платформе призывателя змій",,,,,,,,0xFF01FE,
1466,"знаходитися біля гармати на Розбитому узбережжі",,,,,,,,"знаходитися біля гармати на Розбитому узбережжі",,,,,,,,0xFF01FE,
1467,"знаходитися біля гармати на северной стіні Альянсу",,,,,,,,"знаходитися біля гармати на северной стіні Альянсу",,,,,,,,0xFF01FE,
1468,"знаходитися біля погребального костра тана",,,,,,,,"знаходитися біля погребального костра тана",,,,,,,,0xFF01FE,
1469,"знаходитися поруч з Застиглим вдоспадом",,,,,,,,"знаходитися поруч з Застиглим вдоспадом",,,,,,,,0xFF01FE,
1470,"наблизитися до кліток з чумними псами в Таборі Відплати",,,,,,,,"наблизитися до кліток з чумними псами в Таборі Відплати",,,,,,,,0xFF01FE,
1471,"стояти за прилавком",,,,,,,,"стояти за прилавком",,,,,,,,0xFF01FE,
1472,"знаходитися поруч з котлом крові врайкулов",,,,,,,,"знаходитися поруч з котлом крові врайкулов",,,,,,,,0xFF01FE,
1473,"знаходитися поруч з зразками чуми Харриса",,,,,,,,"знаходитися поруч з зразками чуми Харриса",,,,,,,,0xFF01FE,
1474,"знаходитися біля клеток з чумними псами",,,,,,,,"знаходитися біля клеток з чумними псами",,,,,,,,0xFF01FE,
1475,"знаходитися біля расколотой скрижали",,,,,,,,"знаходитися біля расколотой скрижали",,,,,,,,0xFF01FE,
1476,"знаходитися біля затонувшей човна",,,,,,,,"знаходитися біля затонувшей човна",,,,,,,,0xFF01FE,
1477,"знаходитися в центрі Гибльхейма",,,,,,,,"знаходитися в центрі Гибльхейма",,,,,,,,0xFF01FE,
1478,"Хмільний фестиваль - заказ однієї кружки",,,,,,,,"Хмільний фестиваль - заказ однієї кружки",,,,,,,,0xFF01FE,
1479,"знаходитися біля руни переміщення Уолта",,,,,,,,"знаходитися біля руни переміщення Уолта",,,,,,,,0xFF01FE,
1480,"знаходитися біля руни переміщення залізних дворфів",,,,,,,,"знаходитися біля руни переміщення залізних дворфів",,,,,,,,0xFF01FE,
1481,"знаходитися біля силовых линий Кель'Данаса",,,,,,,,"знаходитися біля силовых линий Кель'Данаса",,,,,,,,0xFF01FE,
1482,"знаходитися біля земляной насыпи Гострого Шипа",,,,,,,,"знаходитися біля земляной насыпи Гострого Шипа",,,,,,,,0xFF01FE,
1483,"знаходитися поруч з кристалом-хранителем",,,,,,,,"знаходитися поруч з кристалом-хранителем",,,,,,,,0xFF01FE,
1484,"знаходитися поруч з Телепортом Легіону",,,,,,,,"знаходитися поруч з Телепортом Легіону",,,,,,,,0xFF01FE,
1485,"знаходитися біля наковальни Хаутаа",,,,,,,,"знаходитися біля наковальни Хаутаа",,,,,,,,0xFF01FE,
1486,"знаходитися на врайкульском могильном пагорбі",,,,,,,,"знаходитися на врайкульском могильном пагорбі",,,,,,,,0xFF01FE,
1487,"знаходитися поруч з сейсмической аномалией Западной расселины",,,,,,,,"знаходитися поруч з сейсмической аномалией Западной расселины",,,,,,,,0xFF01FE,
1488,"знаходитися поруч з JSB - пунктом повторного використання 2.4.0",,,,,,,,"знаходитися поруч з JSB - пунктом повторного використання 2.4.0",,,,,,,,0xFF01FE,
1489,"знаходитися поруч з неруб'арской воронкой",,,,,,,,"знаходитися поруч з неруб'арской воронкой",,,,,,,,0xFF01FE,
1490,"знаходитися біля тотема Рычеклык",,,,,,,,"знаходитися біля тотема Рычеклык",,,,,,,,0xFF01FE,
1491,"знаходитися поруч з котлом Эн'кила",,,,,,,,"знаходитися поруч з котлом Эн'кила",,,,,,,,0xFF01FE,
1492,"знаходитися поруч з носом корабля Квалдира",,,,,,,,"знаходитися поруч з носом корабля Квалдира",,,,,,,,0xFF01FE,
1493,"знаходитися в кінці пристани Пісні Війни",,,,,,,,"знаходитися в кінці пристани Пісні Війни",,,,,,,,0xFF01FE,
1494,"знаходитися поруч з закованным берилловым колдуном",,,,,,,,"знаходитися поруч з закованным берилловым колдуном",,,,,,,,0xFF01FE,
1495,"знаходитися біля бериллового силового щита",,,,,,,,"знаходитися біля бериллового силового щита",,,,,,,,0xFF01FE,
1496,"знаходитися в Кельях Смерті у чумного котла",,,,,,,,"знаходитися в Кельях Смерті у чумного котла",,,,,,,,0xFF01FE,
1497,"знаходитися біля Південною Воронки",,,,,,,,"знаходитися біля Південною Воронки",,,,,,,,0xFF01FE,
1498,"знаходитися на перехресті на схід від фортеці Пісні Війни з пленным дезертиром з Альянсу",,,,,,,,"знаходитися на перехресті на схід від фортеці Пісні Війни з пленным дезертиром з Альянсу",,,,,,,,0xFF01FE,
1499,"знаходитися перед чарівницею крові Лаурит на Равнинах Кривавих Спор",,,,,,,,"знаходитися перед чарівницею крові Лаурит на Равнинах Кривавих Спор",,,,,,,,0xFF01FE,
1500,"знаходитися поруч з Порталом Розколотого Сонця",,,,,,,,"знаходитися поруч з Порталом Розколотого Сонця",,,,,,,,0xFF01FE,
1501,"знаходитися біля Портала Розколотого Сонця",,,,,,,,"знаходитися біля Портала Розколотого Сонця",,,,,,,,0xFF01FE,
1502,"знаходитися поруч з разбившимся ветролетом",,,,,,,,"знаходитися поруч з разбившимся ветролетом",,,,,,,,0xFF01FE,
1503,"знаходитися біля паровой вентиляции на полі гейзеров",,,,,,,,"знаходитися біля паровой вентиляции на полі гейзеров",,,,,,,,0xFF01FE,
1504,"знаходитися поруч з пространственным разломом Нексуса",,,,,,,,"знаходитися поруч з пространственным разломом Нексуса",,,,,,,,0xFF01FE,
1505,"знаходитися поруч з зерном Далечья",,,,,,,,"знаходитися поруч з зерном Далечья",,,,,,,,0xFF01FE,
1506,"знаходитися в лагере Сарагоси",,,,,,,,"знаходитися в лагере Сарагоси",,,,,,,,0xFF01FE,
1507,"знаходитися біля воронки Бича",,,,,,,,"знаходитися біля воронки Бича",,,,,,,,0xFF01FE,
1508,"знаходитися біля северо-западного входу в Нексус",,,,,,,,"знаходитися біля северо-западного входу в Нексус",,,,,,,,0xFF01FE,
1509,"знаходитися поруч з жаровней Дракуру",,,,,,,,"знаходитися поруч з жаровней Дракуру",,,,,,,,0xFF01FE,
1510,"знаходитися в восточном кінці тормоданского туннеля",,,,,,,,"знаходитися в восточном кінці тормоданского туннеля",,,,,,,,0xFF01FE,
1511,"знаходитися поруч з риболовным гачком Туа'кеа",,,,,,,,"знаходитися поруч з риболовным гачком Туа'кеа",,,,,,,,0xFF01FE,
1512,"знаходитися поруч з світильником Тоалу'у",,,,,,,,"знаходитися поруч з світильником Тоалу'у",,,,,,,,0xFF01FE,
1513,"знаходитися на тренировочном полигоне Выкрутеня для парашютистов",,,,,,,,"знаходитися на тренировочном полигоне Выкрутеня для парашютистов",,,,,,,,0xFF01FE,
1514,"знаходитися біля телепортатора парашютиста з станції Выкрутеня",,,,,,,,"знаходитися біля телепортатора парашютиста з станції Выкрутеня",,,,,,,,0xFF01FE,
1515,"знаходитися в точці средоточения силовых линий на пляжі",,,,,,,,"знаходитися в точці средоточения силовых линий на пляжі",,,,,,,,0xFF01FE,
1516,"знаходитися в точці средоточения силовых линий в Лоталорском редколесье",,,,,,,,"знаходитися в точці средоточения силовых линий в Лоталорском редколесье",,,,,,,,0xFF01FE,
1517,"знаходитися в точці средоточения силовых линий під озером",,,,,,,,"знаходитися в точці средоточения силовых линий під озером",,,,,,,,0xFF01FE,
1518,"знаходитися біля гонгов Дракіл'джин",,,,,,,,"знаходитися біля гонгов Дракіл'джин",,,,,,,,0xFF01FE,
1519,"знаходитися біля отмеченного дерева Морозной Выси",,,,,,,,"знаходитися біля отмеченного дерева Морозной Выси",,,,,,,,0xFF01FE,
1520,"знаходитися в центрі ямы під волноловами",,,,,,,,"знаходитися в центрі ямы під волноловами",,,,,,,,0xFF01FE,
1521,"знаходитися в недрах під останками Фордрассила",,,,,,,,"знаходитися в недрах під останками Фордрассила",,,,,,,,0xFF01FE,
1522,"знаходитися в недрах під Ветвями Фордрассила",,,,,,,,"знаходитися в недрах під Ветвями Фордрассила",,,,,,,,0xFF01FE,
1523,"знаходитися в недрах під Слезами Фордрассила",,,,,,,,"знаходитися в недрах під Слезами Фордрассила",,,,,,,,0xFF01FE,
1524,"знаходитися поруч з Ханзелом Бауером",,,,,,,,"знаходитися поруч з Ханзелом Бауером",,,,,,,,0xFF01FE,
1525,"знаходитися в зоні виклику Грім'тара",,,,,,,,"знаходитися в зоні виклику Грім'тара",,,,,,,,0xFF01FE,
1526,"знаходитися на Грифонной станції Фортеці Вартових Зими",,,,,,,,"знаходитися на Грифонной станції Фортеці Вартових Зими",,,,,,,,0xFF01FE,
1527,"знаходитися на лесопилке Нового Дольного Очага",,,,,,,,"знаходитися на лесопилке Нового Дольного Очага",,,,,,,,0xFF01FE,
1528,"знаходитися поруч з саженцем Фордрассила",,,,,,,,"знаходитися поруч з саженцем Фордрассила",,,,,,,,0xFF01FE,
1529,"знаходитися в лагере",,,,,,,,"знаходитися в лагере",,,,,,,,0xFF01FE,
1530,"знаходитися поруч з выходом з Обсідіанового святилища драконів",,,,,,,,"знаходитися поруч з выходом з Обсідіанового святилища драконів",,,,,,,,0xFF01FE,
1531,"знаходитися перед осадным инженером Полувспыхом",,,,,,,,"знаходитися перед осадным инженером Полувспыхом",,,,,,,,0xFF01FE,
1532,"знаходитися біля некромантской руни",,,,,,,,"знаходитися біля некромантской руни",,,,,,,,0xFF01FE,
1533,"знаходитися перед входом в шахти Фортеці Вартових Зими",,,,,,,,"знаходитися перед входом в шахти Фортеці Вартових Зими",,,,,,,,0xFF01FE,
1534,"знаходитися поруч з косяком північного лосося",,,,,,,,"знаходитися поруч з косяком північного лосося",,,,,,,,0xFF01FE,
1535,"знаходитися в центрі руїн на забытом узбережжя",,,,,,,,"знаходитися в центрі руїн на забытом узбережжя",,,,,,,,0xFF01FE,
1536,"знаходитися перед мавзолеем Фортеці Вартових Зими",,,,,,,,"знаходитися перед мавзолеем Фортеці Вартових Зими",,,,,,,,0xFF01FE,
1537,"знаходитися поруч з хрустальным шаром Рууны",,,,,,,,"знаходитися поруч з хрустальным шаром Рууны",,,,,,,,0xFF01FE,
1538,"знаходитися біля оруженосца Перси",,,,,,,,"знаходитися біля оруженосца Перси",,,,,,,,0xFF01FE,
1539,"знаходитися поруч з Алистросом Хранителем Малахитора",,,,,,,,"знаходитися поруч з Алистросом Хранителем Малахитора",,,,,,,,0xFF01FE,
1540,"знаходитися біля вівтаря Льодяної Скорботи",,,,,,,,"знаходитися біля вівтаря Льодяної Скорботи",,,,,,,,0xFF01FE,
1541,"знаходитися в песках поруч у святилища бронзових драконів",,,,,,,,"знаходитися в песках поруч у святилища бронзових драконів",,,,,,,,0xFF01FE,
1542,"знаходитися поруч з ястребиным насестом врайкулов",,,,,,,,"знаходитися поруч з ястребиным насестом врайкулов",,,,,,,,0xFF01FE,
1543,"знаходитися поруч з костром з осквернених Бичом мумий",,,,,,,,"знаходитися поруч з костром з осквернених Бичом мумий",,,,,,,,0xFF01FE,
1544,"знаходитися біля ритуальной статуи Драккари",,,,,,,,"знаходитися біля ритуальной статуи Драккари",,,,,,,,0xFF01FE,
1545,"знаходитися поруч з котлом Финкельштейна",,,,,,,,"знаходитися поруч з котлом Финкельштейна",,,,,,,,0xFF01FE,
1546,"знаходитися в наветренном святилищі Шепота Тумана",,,,,,,,"знаходитися в наветренном святилищі Шепота Тумана",,,,,,,,0xFF01FE,
1547,"знаходитися поруч з Жертвенной чашей",,,,,,,,"знаходитися поруч з Жертвенной чашей",,,,,,,,0xFF01FE,
1548,"знаходитися біля пьедестала Драккари",,,,,,,,"знаходитися біля пьедестала Драккари",,,,,,,,0xFF01FE,
1549,"знаходитися біля упавшего ствола",,,,,,,,"знаходитися біля упавшего ствола",,,,,,,,0xFF01FE,
1550,"знаходитися біля кургана древніх",,,,,,,,"знаходитися біля кургана древніх",,,,,,,,0xFF01FE,
1551,"знаходитися біля виходу нерубского тоннеля",,,,,,,,"знаходитися біля виходу нерубского тоннеля",,,,,,,,0xFF01FE,
1552,"знаходитися біля кузні рун",,,,,,,,"знаходитися біля кузні рун",,,,,,,,0xFF01FE,
1553,"знаходитися на посадочной площадке",,,,,,,,"знаходитися на посадочной площадке",,,,,,,,0xFF01FE,
1554,"знаходитися біля возика Бича",,,,,,,,"знаходитися біля возика Бича",,,,,,,,0xFF01FE,
1555,"знаходитися біля трупа Кетц'лун; пророк Кетц'лун повинен бути поруч і не участвовать в битві",,,,,,,,"знаходитися біля трупа Кетц'лун; пророк Кетц'лун повинен бути поруч і не участвовать в битві",,,,,,,,0xFF01FE,
1556,"наблизитися до алтарю Картака",,,,,,,,"наблизитися до алтарю Картака",,,,,,,,0xFF01FE,
1557,"знаходитися поруч з великим каменем блискавки",,,,,,,,"знаходитися поруч з великим каменем блискавки",,,,,,,,0xFF01FE,
1558,"знаходитися поруч з полководцем Зол'Маза, не участвующим в битві",,,,,,,,"знаходитися поруч з полководцем Зол'Маза, не участвующим в битві",,,,,,,,0xFF01FE,
1559,"знаходитися на вершині Колонны Сонячного Благословения",,,,,,,,"знаходитися на вершині Колонны Сонячного Благословения",,,,,,,,0xFF01FE,
1560,"здійснювати виклик в колі виклику",,,,,,,,"здійснювати виклик в колі виклику",,,,,,,,0xFF01FE,
1561,"знаходитися біля влажной плодородной землі",,,,,,,,"знаходитися біля влажной плодородной землі",,,,,,,,0xFF01FE,
1562,"знаходитися на верхушке колонны Шолазар",,,,,,,,"знаходитися на верхушке колонны Шолазар",,,,,,,,0xFF01FE,
1563,"знаходитися на вершині Мерцающей колонны",,,,,,,,"знаходитися на вершині Мерцающей колонны",,,,,,,,0xFF01FE,
1564,"знаходитися біля кристала з Колонны Жизненной Сили",,,,,,,,"знаходитися біля кристала з Колонны Жизненной Сили",,,,,,,,0xFF01FE,
1565,"знаходитися поруч з Узо Призывателем Смерті",,,,,,,,"знаходитися поруч з Узо Призывателем Смерті",,,,,,,,0xFF01FE,
1566,"знаходитися вдалеке від трупів архиепископа Ландгрена і лорда-коммандера Арете",,,,,,,,"знаходитися вдалеке від трупів архиепископа Ландгрена і лорда-коммандера Арете",,,,,,,,0xFF01FE,
1567,"знаходитися поруч з косяком вкусной рифовой риби",,,,,,,,"знаходитися поруч з косяком вкусной рифовой риби",,,,,,,,0xFF01FE,
1568,"знаходитися в залі воскресіння магмазміїв",,,,,,,,"знаходитися в залі воскресіння магмазміїв",,,,,,,,0xFF01FE,
1569,"знаходитися біля вівтаря Хладонутра",,,,,,,,"знаходитися біля вівтаря Хладонутра",,,,,,,,0xFF01FE,
1570,"знаходитися біля телепортера Гарма",,,,,,,,"знаходитися біля телепортера Гарма",,,,,,,,0xFF01FE,
1571,"знаходитися поруч з сидящим таном Уфангом Могущественным",,,,,,,,"знаходитися поруч з сидящим таном Уфангом Могущественным",,,,,,,,0xFF01FE,
1572,"знаходитися біля острия льодяного шипа",,,,,,,,"знаходитися біля острия льодяного шипа",,,,,,,,0xFF01FE,
1573,"знаходитися в Ледяном кратері",,,,,,,,"знаходитися в Ледяном кратері",,,,,,,,0xFF01FE,
1574,"знаходитися в лазарете Оплота",,,,,,,,"знаходитися в лазарете Оплота",,,,,,,,0xFF01FE,
1575,"знаходитися біля замету",,,,,,,,"знаходитися біля замету",,,,,,,,0xFF01FE,
1576,"знаходитися поруч з гнездом праматері",,,,,,,,"знаходитися поруч з гнездом праматері",,,,,,,,0xFF01FE,
1577,"знаходитися в лагере К-3",,,,,,,,"знаходитися в лагере К-3",,,,,,,,0xFF01FE,
1578,"знаходитися поруч з таном Иллскаром, і щоб він з защитниками не участвовал в битві",,,,,,,,"знаходитися поруч з таном Иллскаром, і щоб він з защитниками не участвовал в битві",,,,,,,,0xFF01FE,
1579,"знаходитися біля груди лицарських черепів",,,,,,,,"знаходитися біля груди лицарських черепів",,,,,,,,0xFF01FE,
1580,"знаходитися біля кузні Малікрісса",,,,,,,,"знаходитися біля кузні Малікрісса",,,,,,,,0xFF01FE,
1581,"знаходитися поруч з світильником Ан'кахета",,,,,,,,"знаходитися поруч з світильником Ан'кахета",,,,,,,,0xFF01FE,
1582,"знаходитися біля Плити Святилища Реанімації",,,,,,,,"знаходитися біля Плити Святилища Реанімації",,,,,,,,0xFF01FE,
1583,"знаходитися поруч з фонтаном Даларану",,,,,,,,"знаходитися поруч з фонтаном Даларану",,,,,,,,0xFF01FE,
1584,"знаходитися поруч з горою черепів на вершині Імірхейма",,,,,,,,"знаходитися поруч з горою черепів на вершині Імірхейма",,,,,,,,0xFF01FE,
1585,"знаходитися поруч з чумним котлом Морд'ретара",,,,,,,,"знаходитися поруч з чумним котлом Морд'ретара",,,,,,,,0xFF01FE,
1586,"знаходитися поруч з сферою Грімкора",,,,,,,,"знаходитися поруч з сферою Грімкора",,,,,,,,0xFF01FE,
1587,"знаходитися поруч з котлом служителів культу",,,,,,,,"знаходитися поруч з котлом служителів культу",,,,,,,,0xFF01FE,
1588,"знаходитися поруч з каменем душі Алумета",,,,,,,,"знаходитися поруч з каменем душі Алумета",,,,,,,,0xFF01FE,
1589,"стояти поруч з словником Сили",,,,,,,,"стояти поруч з словником Сили",,,,,,,,0xFF01FE,
1590,"знаходитися поруч з димлячим осколком",,,,,,,,"знаходитися поруч з димлячим осколком",,,,,,,,0xFF01FE,
1591,"знаходитися поруч з вівтарем чорних глибин",,,,,,,,"знаходитися поруч з вівтарем чорних глибин",,,,,,,,0xFF01FE,
1592,"знаходитися поруч з трупом полеглого ворга",,,,,,,,"знаходитися поруч з трупом полеглого ворга",,,,,,,,0xFF01FE,
1596,"знаходитися поруч з незапаленим сигнальним вогнем",,,,,,,,"знаходитися поруч з незапаленим сигнальним вогнем",,,,,,,,0xFF01FE,
1597,"знаходитися в колі приношень Драк'Мара",,,,,,,,"знаходитися в колі приношень Драк'Мара",,,,,,,,0xFF01FE,
1599,"знаходитися в турнірних стійлах",,,,,,,,"знаходитися в турнірних стійлах",,,,,,,,0xFF01FE,
1601,"знаходитися біля грифона Чорного лицаря",,,,,,,,"знаходитися біля грифона Чорного лицаря",,,,,,,,0xFF01FE,
1602,"знаходитися біля обломка кам'яної стіни",,,,,,,,"знаходитися біля обломка кам'яної стіни",,,,,,,,0xFF01FE,
1613,"знаходитися поруч з примарним вогнищем",,,,,,,,"знаходитися поруч з примарним вогнищем",,,,,,,,0xFF01FE,
1618,"знаходитися біля загадкового замету",,,,,,,,"знаходитися біля загадкового замету",,,,,,,,0xFF01FE,
1620,"знаходитися в печері Закликателя туманів",,,,,,,,"знаходитися в печері Закликателя туманів",,,,,,,,0xFF01FE,
1621,"знаходитися біля пам'ятників туаліку",,,,,,,,"знаходитися біля пам'ятників туаліку",,,,,,,,0xFF01FE,
1622,"знаходитися на палубі ""Люті Бора""",,,,,,,,"знаходитися на палубі ""Люті Бора""",,,,,,,,0xFF01FE,
1636,"знаходитися поруч з ковадлом начальника кузні",,,,,,,,"знаходитися поруч з ковадлом начальника кузні",,,,,,,,0xFF01FE,
1639,"знаходитися поруч з складом товарів хімічної компанії",,,,,,,,"знаходитися поруч з складом товарів хімічної компанії",,,,,,,,0xFF01FE,
1641,"знаходитися біля Сонячного Колодязя",,,,,,,,"знаходитися біля Сонячного Колодязя",,,,,,,,0xFF01FE,
1650,"знаходитися біля возика з хімікатами",,,,,,,,"знаходитися біля возика з хімікатами",,,,,,,,0xFF01FE,
