long,long,long,long,str,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,str,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,long,flags,long,flags,long,str,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,long,long,
845,-1,-1,0,"Ашенваль",,,,,,,,"Ашенваль",,,,,,,,0xFF01FE,"Дослідіть Ашенваль, відкривши усі його області на карті.",,,,,,,,"Дослідіть Ашенваль, відкривши усі його області на карті.",,,,,,,,0xFF01FE,14778,0xA,8,0x0,3543,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
869,-1,-1,239,"50000 почесних перемог в PvP",,,,,,,,"50000 почесних перемог в PvP",,,,,,,,0xFF01FE,"Отримайте 50000 почесних перемог в PvP.",,,,,,,,"Отримайте 50000 почесних перемог в PvP.",,,,,,,,0xFF01FE,95,0xA,8,0x0,3461,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
899,1,-1,0,"Ай, Куренай!",,,,,,,,"Ай, Куренай!",,,,,,,,0xFF01FE,"Добийтеся того, щоб вас звеличували Куренай.",,,,,,,,"Добийтеся того, щоб вас звеличували Куренай.",,,,,,,,0xFF01FE,14865,0xF,8,0x0,2208,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
931,-1,-1,0,"Фракції на шляху героя",,,,,,,,"Фракції на шляху героя",,,,,,,,0xFF01FE,"Фракції на шляху героя",,,,,,,,"Фракції на шляху героя",,,,,,,,0xFF01FE,147,0x0,8,0x1,1,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
934,-1,-1,0,"Відвідані рейди на 25 гравців",,,,,,,,"Відвідані рейди на 25 гравців",,,,,,,,0xFF01FE,"Відвідані рейди на 25 гравців",,,,,,,,"Відвідані рейди на 25 гравців",,,,,,,,0xFF01FE,14807,0x0,8,0x1,1,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
978,-1,-1,32,"3000 завдань",,,,,,,,"3000 завдань",,,,,,,,0xFF01FE,"Виконайте 3000 завдань.",,,,,,,,"Виконайте 3000 завдань.",,,,,,,,0xFF01FE,96,0x32,8,0x0,3414,"Титульна нагорода: Шукач",,,,,,,,"Титульна нагорода: Шукач",,,,,,,,0xFF01FE,0,0,
1009,-1,-1,0,"Лицарі Чорного Клинка",,,,,,,,"Лицарі Чорного Клинка",,,,,,,,0xFF01FE,"Добийтеся того, щоб вас звеличували Лицарі Чорного Клинка.",,,,,,,,"Добийтеся того, щоб вас звеличували Лицарі Чорного Клинка.",,,,,,,,0xFF01FE,14866,0xA,8,0x0,3683,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
1014,-1,-1,518,"Звеличення серед 35 фракцій",,,,,,,,"Звеличення серед 35 фракцій",,,,,,,,0xFF01FE,"Добийтеся того, щоб вас звеличували 35 фракцій.",,,,,,,,"Добийтеся того, щоб вас звеличували 35 фракцій.",,,,,,,,0xFF01FE,201,0xA,8,0x0,3603,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
1028,1,-1,0,"Погасити багаття Східних королівств",,,,,,,,"Погасити багаття Східних королівств",,,,,,,,0xFF01FE,"Спаплюжте святкові багаття Орди в Східних королівствах.",,,,,,,,"Спаплюжте святкові багаття Орди в Східних королівствах.",,,,,,,,0xFF01FE,161,0xA,8,0x0,1920,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
1039,0,-1,0,"Хранитель вогню",,,,,,,,"Хранитель вогню",,,,,,,,0xFF01FE,"Добийтеся вказаних нижче досягнень на празднике Вогняного солнцеворота.",,,,,,,,"Добийтеся вказаних нижче досягнень на празднике Вогняного солнцеворота.",,,,,,,,0xFF01FE,155,0x14,8,0x0,2975,"Титульна нагорода: Хранитель вогню",,,,,,,,"Титульна нагорода: Хранитель вогню",,,,,,,,0xFF01FE,0,0,
1040,1,-1,0,"Зіпсоване свято",,,,,,,,"Зіпсоване свято",,,,,,,,0xFF01FE,"Спробуйте зіпсувати Геловін Орді: виконайте квести сержанта Дигала, зруйнувавши Івового человечка і вонючі бомби на Південному Узбережжі",,,,,,,,"Спробуйте зіпсувати Геловін Орді: виконайте квести сержанта Дигала, зруйнувавши Івового человечка і вонючі бомби на Південному Узбережжі",,,,,,,,0xFF01FE,158,0xA,8,0x0,3480,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
1043,-1,-1,0,"Кидків ""Не відмовлюся"" при поділі трофеїв",,,,,,,,"Кидків ""Не відмовлюся"" при поділі трофеїв",,,,,,,,0xFF01FE,"Кидків ""Не відмовлюся"" при поділі трофеїв",,,,,,,,"Кидків ""Не відмовлюся"" при поділі трофеїв",,,,,,,,0xFF01FE,191,0x0,8,0x1,1,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
1075,-1,555,0,"Вбивство Бормотуна (Темний Лабіринт)",,,,,,,,"Вбивство Бормотуна (Темний Лабіринт)",,,,,,,,0xFF01FE,"Вбивство Бормотуна (Темний Лабіринт)",,,,,,,,"Вбивство Бормотуна (Темний Лабіринт)",,,,,,,,0xFF01FE,14822,0x5,8,0x1,2793,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
1102,-1,309,0,"Вбивство Хаккара (Зул'Гуруб)",,,,,,,,"Вбивство Хаккара (Зул'Гуруб)",,,,,,,,0xFF01FE,"Вбивство Хаккара (Зул'Гуруб)",,,,,,,,"Вбивство Хаккара (Зул'Гуруб)",,,,,,,,0xFF01FE,14821,0x5,8,0x1,2804,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
1110,-1,-1,0,"3 на 3 на арені",,,,,,,,"3 на 3 на арені",,,,,,,,0xFF01FE,"3 на 3 на арені",,,,,,,,"3 на 3 на арені",,,,,,,,0xFF01FE,136,0x0,8,0x1,1,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
1164,0,30,0,"Враховується усе",,,,,,,,"Враховується усе",,,,,,,,0xFF01FE,"Отримайте перемогу в битві в Альтеракській долині, поки ваша команда утримує контроль над обоїми шахтами.",,,,,,,,"Отримайте перемогу в битві в Альтеракській долині, поки ваша команда утримує контроль над обоїми шахтами.",,,,,,,,0xFF01FE,14801,0xA,8,0x0,3433,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
1269,-1,-1,0,"Парове Сховище",,,,,,,,"Парове Сховище",,,,,,,,0xFF01FE,"Дослідіть Грозовую Гряду, відкривши усі їх області на карті.",,,,,,,,"Дослідіть Грозовую Гряду, відкривши усі їх області на карті.",,,,,,,,0xFF01FE,14780,0xA,8,0x0,3404,"",,,,,,,,"",,,,,,,,0x7DFF01EE,0,0,
1273,0,-1,0,"Грім в Награнді",,,,,,,,"Грім в Награнді",,,,,,,,0xFF01FE,"Виконайте 87 завдань в Награнді.",,,,,,,,"Виконайте 87 завдань в Награнді.",,,,,,,,0xFF01FE,14862,0xA,8,0x0,3563,"",,,,,,,,"",,,,,,,,0x7DFF01EE,0,0,
1291,-1,-1,0,"Вам самотньо?",,,,,,,,"Вам самотньо?",,,,,,,,0xFF01FE,"Скуштуйте вершкове блаженство у чиїйсь компанії на романтичному пікніку в Даларані під час Любовної лихоманки.",,,,,,,,"Скуштуйте вершкове блаженство у чиїйсь компанії на романтичному пікніку в Даларані під час Любовної лихоманки.",,,,,,,,0xFF01FE,187,0xA,8,0x0,2545,"",,,,,,,,"",,,,,,,,0x7DFF01EE,0,0,
1301,-1,-1,0,"Найчастіше використовуване зілля мани",,,,,,,,"Найчастіше використовуване зілля мани",,,,,,,,0xFF01FE,"Найчастіше використовуване зілля мани",,,,,,,,"Найчастіше використовуване зілля мани",,,,,,,,0xFF01FE,145,0x0,8,0x11,1,"",,,,,,,,"",,,,,,,,0xFEFF01EC,0,922,
1311,-1,530,0,"Дуже рідкісний",,,,,,,,"Дуже рідкісний",,,,,,,,0xFF01FE,"Здолайте одне з рідкісних і невловимих створінь з Позамежжя, перелічених нижче.",,,,,,,,"Здолайте одне з рідкісних і невловимих створінь з Позамежжя, перелічених нижче.",,,,,,,,0xFF01FE,14779,0xA,8,0x0,134,"",,,,,,,,"",,,,,,,,0x7DFF01EC,1,0,
1357,0,-1,0,"Пагорби Гризлі: серед густих лісів",,,,,,,,"Пагорби Гризлі: серед густих лісів",,,,,,,,0xFF01FE,"Виконайте 75 завдань на Пагорбах гризлі.",,,,,,,,"Виконайте 75 завдань на Пагорбах гризлі.",,,,,,,,0xFF01FE,14863,0xA,8,0x0,3339,"",,,,,,,,"",,,,,,,,0x7DFF01EC,0,0,
1493,-1,-1,0,"Смертельні удари на арені в команді 3 на 3",,,,,,,,"Смертельні удари на арені в команді 3 на 3",,,,,,,,0xFF01FE,"Смертельні удари на арені в команді 3 на 3",,,,,,,,"Смертельні удари на арені в команді 3 на 3",,,,,,,,0xFF01FE,137,0x0,8,0x1,1,"",,,,,,,,"",,,,,,,,0x7BFF01EC,0,0,
1507,-1,619,0,"Вбивство вісника Волажа (Ан'кахет, гер.)",,,,,,,,"Вбивство вісника Волажа (Ан'кахет, гер.)",,,,,,,,0xFF01FE,"Вбивство вісника Волажа (Ан'кахет, гер.)",,,,,,,,"Вбивство вісника Волажа (Ан'кахет, гер.)",,,,,,,,0xFF01FE,14823,0x5,8,0x1,1256,"",,,,,,,,"",,,,,,,,0x7EFF01EC,0,0,
1518,-1,-1,0,"Поймано риб",,,,,,,,"Поймано риб",,,,,,,,0xFF01FE,"Поймано риб",,,,,,,,"Поймано риб",,,,,,,,0xFF01FE,178,0x0,8,0x1,1,"",,,,,,,,"",,,,,,,,0x7BFF01EC,0,0,
1552,-1,-1,0,"Запальний Настрій",,,,,,,,"Запальний Настрій",,,,,,,,0xFF01FE,"Вистреліть з 10 святкових хлопушек за 30 секунд або менше.",,,,,,,,"Вистреліть з 10 святкових хлопушек за 30 секунд або менше.",,,,,,,,0xFF01FE,160,0xA,8,0x0,355,"",,,,,,,,"",,,,,,,,0x7BFF01EC,0,0,
1727,-1,571,0,"Падаюча вежа",,,,,,,,"Падаюча вежа",,,,,,,,0xFF01FE,"Зруйнуйте вежу в Крижаних Просторах.",,,,,,,,"Зруйнуйте вежу в Крижаних Просторах.",,,,,,,,0xFF01FE,14901,0xA,8,0x0,2661,"",,,,,,,,"",,,,,,,,0x7EFF01EC,1,0,
1800,-1,-1,0,"Позамежний гурман",,,,,,,,"Позамежний гурман",,,,,,,,0xFF01FE,"Приготуйте усі страви з Позамежжя, перелічені нижче:",,,,,,,,"Приготуйте усі страви з Позамежжя, перелічені нижче:",,,,,,,,0xFF01FE,170,0xA,8,0x0,3162,"",,,,,,,,"",,,,,,,,0x7BFF01EC,0,0,
2193,-1,607,0,"Експерт по вибуховим речовинам",,,,,,,,"Експерт по вибуховим речовинам",,,,,,,,0xFF01FE,"Протягом однієї битви закладіть 5 сефорієвих зарядів, що наносять пошкодження стіні.",,,,,,,,"Протягом однієї битви закладіть 5 сефорієвих зарядів, що наносять пошкодження стіні.",,,,,,,,0xFF01FE,14881,0xA,8,0x0,355,"",,,,,,,,"",,,,,,,,0x7DFF01EC,0,0,
2497,0,-1,0,"Весняне загострення",,,,,,,,"Весняне загострення",,,,,,,,0xFF01FE,"Знайдіть своєму супутнику – весняному кролику – пару в кожному з перелічених нижче міст.",,,,,,,,"Знайдіть своєму супутнику – весняному кролику – пару в кожному з перелічених нижче міст.",,,,,,,,0xFF01FE,159,0xA,8,0x0,3202,"",,,,,,,,"",,,,,,,,0x7BFF01EC,0,0,
2760,1,-1,2777,"Звеличуваний чемпіон Дарнасу",,,,,,,,"Звеличуваний чемпіон Дарнасу",,,,,,,,0xFF01FE,"Добийтеся звеличення в Дарнасі і право представляти місто на Срібному турнірі.",,,,,,,,"Добийтеся звеличення в Дарнасі і право представляти місто на Срібному турнірі.",,,,,,,,0xFF01FE,14941,0xA,8,0x0,3801,"Титульна нагорода: Дарнасський",,,,,,,,"Титульна нагорода: Дарнасський",,,,,,,,0xFF01FE,0,0,
2862,-1,603,0,"Перемоги над Ходиром (Ульдуар, 10 гравців)",,,,,,,,"Перемоги над Ходиром (Ульдуар, 10 гравців)",,,,,,,,0xFF01FE,"Перемоги над Ходиром (Ульдуар, 10 гравців)",,,,,,,,"Перемоги над Ходиром (Ульдуар, 10 гравців)",,,,,,,,0xFF01FE,14963,0xA,8,0x1,1700,"",,,,,,,,"",,,,,,,,0x7DFF01EC,0,0,
2907,-1,603,0,"Гараж на три машини (10 гравців)",,,,,,,,"Гараж на три машини (10 гравців)",,,,,,,,0xFF01FE,"Здолайте Вогняного Левіафана в рейді на 10 гравців в кожному з следующих засобів переміщення.",,,,,,,,"Здолайте Вогняного Левіафана в рейді на 10 гравців в кожному з следующих засобів переміщення.",,,,,,,,0xFF01FE,14961,0xA,8,0x0,656,"",,,,,,,,"",,,,,,,,0x7BFF01EC,0,0,
2908,-1,603,0,"Гараж на три машини (25 гравців)",,,,,,,,"Гараж на три машини (25 гравців)",,,,,,,,0xFF01FE,"Здолайте Вогняного Левіафана в рейді на 25 гравців в кожному з следующих засобів переміщення.",,,,,,,,"Здолайте Вогняного Левіафана в рейді на 25 гравців в кожному з следующих засобів переміщення.",,,,,,,,0xFF01FE,14962,0xA,8,0x0,656,"",,,,,,,,"",,,,,,,,0x7BFF01EC,0,0,
3596,1,-1,0,"Подвиги мандрівника",,,,,,,,"Подвиги мандрівника",,,,,,,,0xFF01FE,"Виконайте усі щоденні квести на Бенкеті мандрівників.",,,,,,,,"Виконайте усі щоденні квести на Бенкеті мандрівників.",,,,,,,,0xFF01FE,14981,0xA,8,0x0,3966,"",,,,,,,,"",,,,,,,,0xFFF7EE,0,0,
3800,-1,-1,0,"Король-предатель (10 гравців)",,,,,,,,"Король-предатель (10 гравців)",,,,,,,,0xFF01FE,"Здолайте 40 скарабеев з роя за 30 секунд в рейді на 10 гравців.",,,,,,,,"Здолайте 40 скарабеев з роя за 30 секунд в рейді на 10 гравців.",,,,,,,,0xFF01FE,15001,0xA,8,0x0,4006,"",,,,,,,,"",,,,,,,,0xFF1BFF,0,0,
3816,-1,-1,0,"Король-предатель (25 гравців)",,,,,,,,"Король-предатель (25 гравців)",,,,,,,,0xFF01FE,"Здолайте 40 скарабеев з роя за 30 секунд в рейді на 25 гравців.",,,,,,,,"Здолайте 40 скарабеев з роя за 30 секунд в рейді на 25 гравців.",,,,,,,,0xFF01FE,15002,0xA,8,0x0,4006,"",,,,,,,,"",,,,,,,,0xFF1BFD,0,0,
3838,-1,-1,0,"Емблеми підземель і рейдів",,,,,,,,"Емблеми підземель і рейдів",,,,,,,,0xFF01FE,"Отримайте одну емблему героїзму, доблесті, завоювання, тріумфу або льоду.",,,,,,,,"Отримайте одну емблему героїзму, доблесті, завоювання, тріумфу або льоду.",,,,,,,,0xFF01FE,168,0xA,8,0x8,1950,"",,,,,,,,"",,,,,,,,0xFF1BFC,0,0,
3847,-1,628,0,"Автопарк",,,,,,,,"Автопарк",,,,,,,,0xFF01FE,"Захопіть контроль над переліченими транспортними засобами на Острові Завоювань:",,,,,,,,"Захопіть контроль над переліченими транспортними засобами на Острові Завоювань:",,,,,,,,0xFF01FE,15003,0xA,8,0x0,656,"",,,,,,,,"",,,,,,,,0xFF1BFF,0,0,
4053,-1,-1,0,"Перемоги над чемпіоном-шаманом (Випробування Чемпіона, гер.)",,,,,,,,"Перемоги над чемпіоном-шаманом (Випробування Чемпіона, гер.)",,,,,,,,0xFF01FE,"Перемоги над чемпіоном-шаманом (Випробування Чемпіона, гер.)",,,,,,,,"Перемоги над чемпіоном-шаманом (Випробування Чемпіона, гер.)",,,,,,,,0xFF01FE,15021,0x0,8,0x1,1,"",,,,,,,,"",,,,,,,,0xFF01EC,0,0,
4631,-1,631,4527,"Зали Льодокрилих (10 гравців гер.)",,,,,,,,"Зали Льодокрилих (10 гравців гер.)",,,,,,,,0xFF01FE,"Здолайте всіх босів Залів Льодокрилих в Цитаделі Крижаної Корони в героїчному режимі в рейді на 10 гравців.",,,,,,,,"Здолайте всіх босів Залів Льодокрилих в Цитаделі Крижаної Корони в героїчному режимі в рейді на 10 гравців.",,,,,,,,0xFF01FE,15041,0xA,8,0x0,4158,"",,,,,,,,"",,,,,,,,0xFF01FC,0,0,
4635,-1,631,4607,"Зали Льодокрилих (25 гравців гер.)",,,,,,,,"Зали Льодокрилих (25 гравців гер.)",,,,,,,,0xFF01FE,"Здолайте всіх босів Залів Льодокрилих в Цитаделі Крижаної Корони в героїчному режимі в рейді на 25 гравців.",,,,,,,,"Здолайте всіх босів Залів Льодокрилих в Цитаделі Крижаної Корони в героїчному режимі в рейді на 25 гравців.",,,,,,,,0xFF01FE,15042,0xA,8,0x0,4158,"",,,,,,,,"",,,,,,,,0xFF01FC,0,0,
4719,-1,-1,0,"Вбивство Ика і Крика (Яма Сарона, гер.)",,,,,,,,"Вбивство Ика і Крика (Яма Сарона, гер.)",,,,,,,,0xFF01FE,"",,,,,,,,"",,,,,,,,0xFF01FC,15062,0x0,8,0x1,1,"",,,,,,,,"",,,,,,,,0xFF01FC,0,0,
36,-1,-1,0,"Империя Зул'Драк",,,,,,,,"Империя Зул'Драк",,,,,,,,0xFF01FE,"Виконайте 100 завдань в Зул'Драке.",,,,,,,,"Виконайте 100 завдань в Зул'Драке.",,,,,,,,0xFF01FE,14863,0xA,9,0x0,3340,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
54,-1,566,0,"Бої на Оці Бурі",,,,,,,,"Бої на Оці Бурі",,,,,,,,0xFF01FE,"Бої на Оці Бурі",,,,,,,,"Бої на Оці Бурі",,,,,,,,0xFF01FE,153,0x0,9,0x1,1,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
103,-1,-1,0,"Бої в Кривавому Колі",,,,,,,,"Бої в Кривавому Колі",,,,,,,,0xFF01FE,"Бої в Кривавому Колі",,,,,,,,"Бої в Кривавому Колі",,,,,,,,0xFF01FE,152,0x0,9,0x1,4,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
156,-1,529,0,"Панування в землях Араті",,,,,,,,"Панування в землях Араті",,,,,,,,0xFF01FE,"Виграйте 10 битв в Низовині Араті, захопивши усі 5 прапорів.",,,,,,,,"Виграйте 10 битв в Низовині Араті, захопивши усі 5 прапорів.",,,,,,,,0xFF01FE,14802,0xA,9,0x0,3452,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
201,-1,489,0,"Раціоналізація Ущелини",,,,,,,,"Раціоналізація Ущелини",,,,,,,,0xFF01FE,"Здобудьте перемогу в Ущелині Пісні Війни менше ніж за 7 хвилин.",,,,,,,,"Здобудьте перемогу в Ущелині Пісні Війни менше ніж за 7 хвилин.",,,,,,,,0xFF01FE,14804,0xA,9,0x0,3389,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
226,-1,30,0,"Альтеракский блиц",,,,,,,,"Альтеракский блиц",,,,,,,,0xFF01FE,"Отримайте перемогу в битві в Альтеракській долині за 6 хвилин.",,,,,,,,"Отримайте перемогу в битві в Альтеракській долині за 6 хвилин.",,,,,,,,0xFF01FE,14801,0x14,9,0x0,3380,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
306,-1,-1,0,"Найкращий рибалка Азероту",,,,,,,,"Найкращий рибалка Азероту",,,,,,,,0xFF01FE,"Здобудьте перемогу у змаганні рибалок Піратської Бухти або в Калуакському риболовстві",,,,,,,,"Здобудьте перемогу у змаганні рибалок Піратської Бухти або в Калуакському риболовстві",,,,,,,,0xFF01FE,171,0x14,9,0x0,577,"",,,,,,,,"",,,,,,,,0xFF01EE,1,0,
332,-1,-1,0,"Найдорожчий лот з проданих",,,,,,,,"Найдорожчий лот з проданих",,,,,,,,0xFF01FE,"Найдорожчий лот з проданих",,,,,,,,"Найдорожчий лот з проданих",,,,,,,,0xFF01FE,140,0x0,9,0x1,4,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
460,-1,-1,0,"1-й на сервері! Маг 80-го рівня",,,,,,,,"1-й на сервері! Маг 80-го рівня",,,,,,,,0xFF01FE,"Перший маг на сервері, який досяг 80-го рівня.",,,,,,,,"Перший маг на сервері, який досяг 80-го рівня.",,,,,,,,0xFF01FE,81,0x0,9,0x100,2832,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
486,-1,602,0,"Зали Блискавок",,,,,,,,"Зали Блискавок",,,,,,,,0xFF01FE,"Здолайте босів в Залах Блискавок.",,,,,,,,"Здолайте босів в Залах Блискавок.",,,,,,,,0xFF01FE,14806,0xA,9,0x0,3241,"",,,,,,,,"",,,,,,,,0xFF01EC,0,0,
497,-1,602,0,"Зали Блискавок (гер.)",,,,,,,,"Зали Блискавок (гер.)",,,,,,,,0xFF01FE,"Здолайте босів в Залах Блискавок в героїчному режимі.",,,,,,,,"Здолайте босів в Залах Блискавок в героїчному режимі.",,,,,,,,0xFF01FE,14921,0xA,9,0x0,3242,"",,,,,,,,"",,,,,,,,0xFF01EC,0,0,
576,-1,-1,0,"Падіння Наксрамаса (10 гравців)",,,,,,,,"Падіння Наксрамаса (10 гравців)",,,,,,,,0xFF01FE,"Здолайте всіх босів в Наксрамасі в рейді на 10 гравців.",,,,,,,,"Здолайте всіх босів в Наксрамасі в рейді на 10 гравців.",,,,,,,,0xFF01FE,14922,0x19,9,0x0,3258,"",,,,,,,,"",,,,,,,,0xFF01EC,0,0,
577,-1,-1,0,"Падіння Наксрамаса (25 гравців)",,,,,,,,"Падіння Наксрамаса (25 гравців)",,,,,,,,0xFF01FE,"Здолайте всіх босів в Наксрамасі в рейді на 25 гравців.",,,,,,,,"Здолайте всіх босів в Наксрамасі в рейді на 25 гравців.",,,,,,,,0xFF01FE,14923,0x32,9,0x0,3259,"",,,,,,,,"",,,,,,,,0xFF01EC,0,0,
587,-1,566,0,"Убивця з Ока Бурі",,,,,,,,"Убивця з Ока Бурі",,,,,,,,0xFF01FE,"Отримайте 5 почесних перемог на кожній базе за час однієї битви на Оці Бурі.",,,,,,,,"Отримайте 5 почесних перемог на кожній базе за час однієї битви на Оці Бурі.",,,,,,,,0xFF01FE,14803,0xA,9,0x0,2837,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
636,-1,-1,0,"Кургани Голкошкірих",,,,,,,,"Кургани Голкошкірих",,,,,,,,0xFF01FE,"Здолайте Амненнара Хладовея.",,,,,,,,"Здолайте Амненнара Хладовея.",,,,,,,,0xFF01FE,14808,0xA,9,0x0,3655,"",,,,,,,,"",,,,,,,,0xFF01EE,1,0,
654,-1,-1,0,"Темний Лабіринт",,,,,,,,"Темний Лабіринт",,,,,,,,0xFF01FE,"Здолайте Бормотуна.",,,,,,,,"Здолайте Бормотуна.",,,,,,,,0xFF01FE,14805,0xA,9,0x0,3825,"",,,,,,,,"",,,,,,,,0xFF01EE,1,0,
705,-1,-1,0,"Мистецтво володіння зброєю",,,,,,,,"Мистецтво володіння зброєю",,,,,,,,0xFF01FE,"Доведіть вміння бою чотирма видами зброї до 400.",,,,,,,,"Доведіть вміння бою чотирма видами зброї до 400.",,,,,,,,0xFF01FE,92,0x19,9,0x0,279,"",,,,,,,,"",,,,,,,,0xFF01EE,4,0,
846,-1,-1,0,"Тисяча голок",,,,,,,,"Тисяча голок",,,,,,,,0xFF01FE,"Дослідіть Тисячу голок, відкривши усі її області на карті.",,,,,,,,"Дослідіть Тисячу голок, відкривши усі її області на карті.",,,,,,,,0xFF01FE,14778,0xA,9,0x0,3580,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
858,-1,-1,0,"Примарні Землі",,,,,,,,"Примарні Землі",,,,,,,,0xFF01FE,"Дослідіть Примарні Землі, відкривши усі їх області на карті.",,,,,,,,"Дослідіть Примарні Землі, відкривши усі їх області на карті.",,,,,,,,0xFF01FE,14777,0xA,9,0x0,3540,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
870,-1,-1,869,"100000 почесних перемог в PvP",,,,,,,,"100000 почесних перемог в PvP",,,,,,,,0xFF01FE,"Отримайте 100000 почесних перемог.",,,,,,,,"Отримайте 100000 почесних перемог.",,,,,,,,0xFF01FE,95,0xA,9,0x0,3453,"Титул: Син Орди чи Альянсу",,,,,,,,"Титул: Син Орди чи Альянсу",,,,,,,,0xFF01FE,0,0,
901,0,-1,0,"Маг'хар з Дренора",,,,,,,,"Маг'хар з Дренора",,,,,,,,0xFF01FE,"Станьте шанованим серед маг’харів",,,,,,,,"Станьте шанованим серед маг’харів",,,,,,,,0xFF01FE,14865,0xF,9,0x0,2208,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
937,-1,-1,0,"Благословення Елуни",,,,,,,,"Благословення Елуни",,,,,,,,0xFF01FE,"Виконайте завдання ""Благословення Елуни"", вбивши Омена.",,,,,,,,"Виконайте завдання ""Благословення Елуни"", вбивши Омена.",,,,,,,,0xFF01FE,160,0xA,9,0x0,2821,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
973,-1,-1,0,"5 щоденних завдань",,,,,,,,"5 щоденних завдань",,,,,,,,0xFF01FE,"Виконайте 5 щоденних завдань.",,,,,,,,"Виконайте 5 щоденних завдань.",,,,,,,,0xFF01FE,96,0xA,9,0x0,3424,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
1010,-1,-1,0,"Авангард Нортренду",,,,,,,,"Авангард Нортренду",,,,,,,,0xFF01FE,"Добийтеся того, щоб вас звеличували Срібний Авангард, Драконовий союз, Кірін-Тор і Лицарі Чорного Клинка.",,,,,,,,"Добийтеся того, щоб вас звеличували Срібний Авангард, Драконовий союз, Кірін-Тор і Лицарі Чорного Клинка.",,,,,,,,0xFF01FE,14866,0x14,9,0x0,2207,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
1015,-1,-1,1014,"Звеличення серед 40 фракцій",,,,,,,,"Звеличення серед 40 фракцій",,,,,,,,0xFF01FE,"Добийтеся того, щоб вас звеличували 40 фракцій.",,,,,,,,"Добийтеся того, щоб вас звеличували 40 фракцій.",,,,,,,,0xFF01FE,201,0xA,9,0x0,3602,"Титульна нагорода: Звеличуваний",,,,,,,,"Титульна нагорода: Звеличуваний",,,,,,,,0xFF01FE,0,0,
1029,1,-1,0,"Погасити багаття Калімдору",,,,,,,,"Погасити багаття Калімдору",,,,,,,,0xFF01FE,"Спаплюжте святкові багаття Орди в Калімдорі.",,,,,,,,"Спаплюжте святкові багаття Орди в Калімдорі.",,,,,,,,0xFF01FE,161,0xA,9,0x0,1920,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
1041,0,-1,0,"Зіпсоване свято",,,,,,,,"Зіпсоване свято",,,,,,,,0xFF01FE,"Виконайте всі квести, щоб зіпсувати свято Геловіна Альянсу: вируште до Південного Узбережжя, закидайте вороже місто бомбами та киньте тухлі яйця в бочки з элем.",,,,,,,,"Виконайте всі квести, щоб зіпсувати свято Геловіна Альянсу: вируште до Південного Узбережжя, закидайте вороже місто бомбами та киньте тухлі яйця в бочки з элем.",,,,,,,,0xFF01FE,158,0xA,9,0x0,3480,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
1044,-1,-1,0,"Кидки кубиків ""Мені це необхідно""",,,,,,,,"Кидки кубиків ""Мені це необхідно""",,,,,,,,0xFF01FE,"Кидки кубиків ""Мені це необхідно""",,,,,,,,"Кидки кубиків ""Мені це необхідно""",,,,,,,,0xFF01FE,191,0x0,9,0x1,1,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
1076,-1,269,0,"Вбивство Эонуса (Відкривання Темного портала)",,,,,,,,"Вбивство Эонуса (Відкривання Темного портала)",,,,,,,,0xFF01FE,"Вбивство Эонуса (Відкривання Темного порталу)",,,,,,,,"Вбивство Эонуса (Відкривання Темного порталу)",,,,,,,,0xFF01FE,14822,0x5,9,0x1,1699,"",,,,,,,,"",,,,,,,,0xFF01EE,0,0,
